post_id,author_id,private,title,content_body,created_at
PYIcgyyZJrCxL6KoRpr31g,M8w0eVi50eEbxalwEopbOg,False,Wendy's,2304 Royal Windsor Dr,2020-04-03
_YerZzosnwAs6R6p1FNkUQ,hMMfXKQBy9wUYiPr9VJYvg,False,My Corner Chinese Restaurant,4330 W Union Hills Dr,2020-03-02
OnBpjHz0xcnfAFfRSLuRkw,CZXDBoJ8BGPgUtjKM3hOgQ,False,Morse Van Lines,83 S State St,2020-03-19
EIFW8Cz9S7-jWWdnZrH3pg,HJtifl7oOh46tACAX5oMFA,True,Grand View Buffet,777 Casino Dr,2020-01-06
Wf4lvQFPpO81odON5Lfvrw,IFG0iiElBr7GeP4NmqkDjA,False,X-Copper,143 Laird Drive,2020-03-23
TbQAsJ2FyiiRE5ZTGjFiwQ,bTrEWYmZSyY9W4xyw3PB6g,False,Sun Spa Massage,6716A Odana Rd,2020-04-06
r0dszrXz4bsSQODV4ruW-w,rLpq9zNFLgyVYQrN8Gn-Zg,True,Sunstone Restoration,1072 Astounding Hills Dr,2020-01-01
Zkw7LIIKJWHsdxkqU5VwXQ,lskCDsyomL005APQ_ISF3Q,True,Ka Chi,2322 Bloor Street W,2020-02-25
NoK0nLnZgvkkrCToUuRaQQ,euWQnMdSQY92IYxGQRqiww,False,Benefit Boutique Toronto - Uptown Yonge,2614 Yonge Street,2020-03-20
c7p5c56UbFoRTRNey8SOBA,owwcrqa1EZ2tAhMKC5Ldhg,False,Black Radish Kitchen,,2020-01-08
uYYXLcDNQhgUIQcfauaKrw,S2JJcfpeFuTrLxlWe90q6Q,False,Chub's Place,810 Ingomar Rd,2020-02-08
ndGZnJL8rD3evQipYUJbgA,FZEg4CwBnIuwh_EhwYETzA,False,Longo's Gourmet Coffee & Ice Cream,11000 Perry Hwy,2020-01-02
a43y8NlbETk2yNyenLJ-Ag,5K458KR8495He4msQ3Z9dA,False,McDonald's,774 S Val Vista Dr,2020-01-02
tNUEKYfbwL0VBU-yfWQrUA,KMiA070Sq7EOVA59F1pSUA,True,Good Year Chinese Restaurant,62 Ratcliffe Terrace,2020-03-30
h5csTpDRI7_oo1RUOeHOtQ,uXAC1YqN-1PEBNr0e4xB4g,False,Nice City Nails,10620 Yonge Street,2020-03-11
