post_id,author_id,private,title,content_body,created_at
BDjZ5us1RyBGEQRgUeF7Tg,kTXClNEY5vHUu0gPf_OfBw,False,Sportscards Etc,5629-B Steubenville Pike,2020-01-18
BxpdFe_30TiexNlAHUEOiA,_lz26hNyDqYaaGbeUJAZsw,False,Bar Louie,10 Southpark Ctr,2020-02-23
lE9cHmE0btdTHx1OOxYeUQ,pkt2zQ-X0qmmmdWF_XP6Fw,False,Nava Restaurant & Bar,125 York Boulevard,2020-01-06
UyJbADm5Ub0csALtG6vnZg,2ZCg-1IVU6Yqxhu4r5fHPw,False,Rossetti Management & Realty Services,3120 N 19th Ave,2020-02-25
MZKmrAWB5O05-NyC46TWRg,7LbT_3ZQEv4yIDluv4lKbw,False,Sportrestaurant Neuwirtshaus,Neuwirtshausstr. 199 A,2020-01-30
kutBK7PzZ-XxsiMimfOMfQ,Qmmi8FveXqN4W_l6oC1WPQ,False,The St-George Bar & Grill,7 Main Street N,2020-01-08
QvOyuo7qAsCU-LOo_g-jiw,KY12L0gNAB7kGCygVY6jHA,False,Bâton Rouge,4890 Boulevard Taschereau,2020-02-27
31urmczKt2RmqvFmBAuQGA,Sp1aWiirdX0f0J-YBQwQ0g,True,Jordan's Family Restaurant,11575 Brookpark Rd,2020-03-03
xG2DxjHdoUf3frxogIeTAg,2fnC7JqE_mRt0CYvAvPqJg,True,MEC Toronto,400 King Street W,2020-04-06
N9jmzeBT-6vQxbpC9yl8Aw,eEJCi8QGqcAXw1qOJ2_YzQ,False,Fifty 1,7715 Pineville Matthews Rd,2020-02-08
m97lSHaZFEosl-tpY4yNGA,gNP-GfEFqdNN8Mc9LFy7AA,False,One 2 One Studio,506 Eglinton Avenue W,2020-02-15
p2pb0AJfuo0rqmcoS2GAuw,Vy2U4IxFh35H-1wKkzFH4w,False,Jiffy Lube,245 W Ocotillo Rd,2020-02-15
_2Gq_cx7z2CXHddwEV5CMQ,Y7RLjPtb03gUr7-ia693Mw,True,Macdonald Framing,62 Candlemaker Row,2020-03-16
Hsy7cPae2su8o0sLRnFyFw,-kpN1-PSpmK9Kpsq5jLZqg,True,Bath & Body Works,308 S Sharon Amity Rd,2020-02-17
dxlWVB53GMjhldtCyfFIcA,Y2NWpnrOZhj4fUvCmdv-GQ,True,Deke's Refrigeration & Air Conditioning,3019 Santa Margarita St,2020-01-15
ROydqb0-_anykeJGB1_uUA,gnXv1DIrfD6ZJmVr9lY0Gw,False,Cobblestone Auto Spa,2090 South Arizona Ave,2020-02-28
Q90LWaOS5vzcWItKN0sbsA,TBtdazh5ZZtZbpDsAechVg,True,Sheppard-Yonge Station,4800 Yonge Street,2020-03-18
u-FC5R7ZpW3-jpvXq-rBIg,gCvzHGsZiy7dQJTDvfW89w,False,T & L Nail Salon,2855 W Cactus Rd,2020-01-05
92Eu-1ImrF2kwpnccxN62Q,tCek_8CenBzblfOTtfDLmg,False,El Chino Tacos,1570 West Cheyenne Ave,2020-03-04
rzSSdFtz6_v4fgS2ueQl-A,238c-bmpUpK1kHfjltIiZw,False,Gordmans,8253 W Ridgewood Dr,2020-01-06
7mCuFbcrCsMpgVetbbpvIg,Vk30FCAhyM-LkcIJXTA3YA,False,Duluth Trading Co,1107 River St,2020-03-23
JkzE5CUAh1J5XvQ4tUJ3yQ,a2kJUiTVoL8RYhzxy5gVzA,True,Pho Bac No1,4707 Wellington Rue,2020-03-29
GqyoE7UWGDCXbzGTOEKTVg,W0EOfG83YE3-AWUC1eYfOQ,True,Zero 8,1141 Rue Bélanger,2020-01-29
ars2VnqAdzUKcr9xs7CU7g,OvjMpSMAct6jIABmssbH3A,False,Applewood Animal Hospital,6909 E Lincoln Dr,2020-01-10
QDCtlsSsBAmEzFs8E3V_aA,ypXutA_ws0MvtU7m62GlrA,True,Swiss Chalet Rotisserie & Grill,5980 Mclaughlin Rd,2020-04-06
XmYHiNs11r7943qzJTMr-g,bjnvYaR-APt96Zd-d098fA,True,Mellinger Beer Distributor,402-406 Semple St,2020-03-31
MLVnaAgR3FD2O9mBTKDqoQ,bVuPQueLm7oV6ySbmSSF9A,True,Pasha Cafe Lounge,808 Ivy St,2020-03-29
AIiDJpO02tGACmf-9A427Q,fef98v93zHiCaoNKtyuiVA,False,Greenwood/Memory Lawn Mortuary & Cemetery,719 North 27th Ave,2020-01-01
4mNkxkZpHI3lbB22ULrEoQ,FJzJe9x8SCAv4XzWAoIEuQ,False,Bowlerama Newtonbrook,5837 Yonge Street,2020-03-12
J76qDaF8iPl-8y2tYFhXbw,xDieIaLHbrfpK5tBWCkVFw,True,The Local,105 E 5th St,2020-02-22
sUACyfwfOG_YbfePwZ7vMw,UWh1qzPysln0Pwip4CkAGQ,True,Radiation Oncology Centers of Nevada,624 S Tonopah Dr,2020-02-16
CL1wZ2PuzUXG6PzjRZQICw,q5T6h_idilEjQuIRK0j4dQ,True,Gharoa Restaurant,2994 Danforth Avenue,2020-01-23
pgj64_k4QEOReoY5OgVkgg,VmOI8R6N71YaFJFz16a5ZQ,False,David Long Electrical,,2020-03-17
IhQ1dM-1_e2AIGcICmNpog,qOMRTgW3U8bJvb1vt2ZHvA,False,Kmart,17840 Bagley Rd,2020-03-11
alwUoS-FCTFOMUlfcPBYcg,g2XQ1Ux65jLMVweeIyH3FQ,True,Nailsense,3375 E Russell Rd,2020-01-08
pmJqSsCfgbo3TxPWpQNLIw,iePV1cV9VP6XoUglL6T9AQ,True,Artisanal Foods Cafe,2053 Pama Ln,2020-03-01
yNUQ_B_xz_HGcWXQYMRZwg,aH2YbjZNXhGQHLThp-gLXQ,True,Scrubs & Beyond,9839 S Eastern Ave,2020-01-13
guAmqNzm28jlbuQO0AHvYQ,-0bm5E7LB0Y9tVTCyoXTRQ,False,Bye Bye Bugs Pest Control,,2020-02-06
Bjn-GQg6hoUOkew7tTPcLA,Q61_TU8QwlRSWncn_S9bQw,False,Tempe Center for the Arts,700 W Rio Salado Pkwy,2020-03-24
dZ4haBsXeESSij53suTQ2w,6rjYfmKTaFimRYcQOpsQgg,False,Canton Wong #2,6023 N 19th Ave,2020-01-15
z61ppZjZkBJI9iz0wTf5nQ,jj6Bu7cBzc8nxBvb92-15A,True,Silver Dollar Tavern,117 W Mifflin St,2020-03-11
aMbwapu2goUGHo9YNef_hw,7hnTTy197QrwyLBzpGY-lA,False,The Cages Training Facility,2511 E Bell Rd,2020-02-07
KhF4QdgfrywfYRe7Yze7JQ,fuOPXeFrM2CHwUYuIeDN2g,False,Thyme Maternity,3401 Dufferin Street,2020-03-08
JLBzX4IyYgiogvhmTsSX7g,qbJ64tc-_XQQLFegwPu_rg,False,Cook N Jacks,7042 E Indian School Rd,2020-02-16
9w9s-y67NabMF6tx87jEmw,q0TgYwAZ4JGa-HGo4755Vw,False,Trx2,10643 N 43rd Ave,2020-01-06
KN5W6mXc6Xzv7UZGNnZGRQ,DGuyjfeaJ0KiOnZUogQ9bw,False,All About Kitchen and Bath,,2020-01-07
IMHIVSZjVt9g8fY1UPCMOw,KxBkjJaekj1Zr9mLieUjJQ,False,Earnhardt Lexus,800 E Camelback Rd,2020-01-19
qQvHYQ1uocuEnFcUdhxV_g,cqVeex6VMgycZ_UbHaZWoA,True,The Pub Chip Shop,1830 E Carson St,2020-03-06
7sAt_dIT-tcC1TsS1_jXHQ,7grOHAjSVEI8vxcBt_vpxQ,True,Big Foot Massage,4560 Spring Mountain Rd,2020-04-01
Dy3CZvibDHjJlgcCnUpXig,WMfTyXhMkawH236QueYaPw,False,InTown Suites,2350 W Obispo Ave,2020-03-05
S7g7QxNIYwkhgZRRymzAUg,aTbt4pgVWRI0_VfQRS6Gpw,True,The Isaly Company,537 E Ohio St,2020-01-06
q9_gLvTNf11etVxbH7JY0Q,a1mcw4PYqUPbrc8JijciWA,False,Yasu,81 Harbord Street,2020-04-03
_g2OKStHyXBjYr_j2DvP-Q,duUJcQpWkFeMkcOBpSqlqg,True,Timothy's World Coffee,401 Bay St,2020-02-07
tmxCHyJ-w7vI2spzjjy2-A,aPZR2hiC5Rl2bztZ_-6JCw,True,Esperanca Salon & Spa,681 Scarlett Road,2020-03-18
y8d90Pt16Nip-B5UXWBP-w,FFoFZtkj9WyDZgQDKG--Pw,True,Yard House,11011 W Charleston Blvd,2020-01-01
mqDOqjYBYK4nzgDavVu2-w,ljqipwowVJyg-idxp5iYqw,False,hampton Inn & Suites,1825 North Higley Rd,2020-02-18
2k-ki66QUs1xJcPqG4SqbQ,MrED14eVMQc5f9S-kv-H0w,False,Haulin' Goats,2205 Marks Rd,2020-02-26
TfUjb3W46kx1zW1dKQe7oA,WKzh-RxI1wdZX-NufaVzew,False,JMAR  Construction,,2020-03-05
fIMBFVFYfAo2g6022Q7pjQ,CmgfDjEHYTAlhHw6Jlz6_A,False,Arby's,7715 Reynolds Rd,2020-03-22
QqLvmzn_I2DSYIXyixd6og,tOq05ksm0rEuo8ddcdGIKg,False,Nail Spa Village Commons,5922 Weddington Rd,2020-01-11
J5D0XMBsnmTZ9AGVK1qyfg,fQuVJxyaIZNBjdAtvBkD2w,False,Bonnie's Yarn Crafts,37555 Hum Rd,2020-04-09
fvnaLCkyIyCw7vQuO8-H3g,QzmpgyVjuz1hYNDUPfTHNw,False,Judy Cuisine,550 Highway 7 E,2020-04-04
Gtc6nYF0z_NSvSwkZLTaLQ,JaJzrEDw2BE_6lXGuE9Cgg,True,Green Car Tires,25 Munham Gate,2020-03-13
w9Akag2jUyL8a9hamyQryw,7rGxUA18TGfxS1DuhC4iiQ,True,Euclid Beach Park,14-30 Cumberland Ave,2020-03-10
dil7Fajn07B9e_msePW0nQ,LAhULlacbTFUA7Q7WODkZA,False,Denny's,209 Tarentum Brg,2020-01-21
eb_DIutupetu0YyF8hNBQg,nv2XE4BTXbRknVf6n4IBOg,False,Booster Juice,9342 Bathurst Street,2020-03-23
muroxJFpKgY7Ahmq7G5kcw,x2qleTv9OOsVsz1dITMXOQ,True,Mama Koka,2836 Lake Shore Boulevard W,2020-01-24
ebani0ysa7Ije70dmDWCZQ,T5bi_wy936TcVExXL4tAoQ,True,Roberto's,2227 Rue Belanger,2020-01-24
fQFfq8C3P0Gm3xhanR8K_A,_PGeEBHJBNqHnZXR2g0jfw,False,Cheeseburger in Paradise,1601 Aspen Commons,2020-02-24
s_uRR33K0R8s85BWesu2Mg,4JNz3Vy5nQzTeDzhqVKpow,False,Black Dog Pub & Eatery,36040 Sugar Ridge Rd,2020-03-12
xF2zrVbXtB6TxMBPGJKxog,gVpC5zmYbC2cp7esStEm_g,True,Cafe Neon,241 Wallace Avenue,2020-02-01
vRvWnE-qpVQrMT57Z-sEsw,rzcn54EmptZkSkfqa-XF7w,False,Arby's,1022 N Court St,2020-01-07
Q3G58vv1ClvH4re9QBsVgQ,7mxtYVofz6j81UKvp4GPhA,False,Harkins Theatres Tempe Marketplace 16,2000 E Rio Salado Pkwy,2020-03-18
nLz62gXgiJL1-UCltZFFfA,mL40KRo07wJ_R1SZ9K9sAw,True,Avenue Market,210 N Church,2020-03-04
L8QvpWAhh6OeFj1Mq1nX8w,zARs1Bd8lP2gExPWV_jn6A,False,Jim Jenkins Lawn & Garden Center,1877 Painters Run Rd,2020-03-16
nQ8rux5BSSWPoh2pV2Z2UQ,I5Nex3H_RVEsD5eRVzanow,False,Dela's Classic Cleaning Service,,2020-01-12
7LBVI9euGV3ugO0-efZHvg,0ZFlgh1FDwzPHr_hXAwzMg,True,Duff's Famous Wings,1604 Bayview Ave,2020-03-20
tOsvHZpxmyIK4Ngk8FaLJg,_jIfHQZDxfffJmASclt8pA,True,Fish Ball Place,4300 Steeles Ave. E,2020-01-10
XoOFezxPVlwsNqB2qMlluA,OfIC41rAA8qaHxMkAE24Vw,True,Starbucks,Bloor Street West 2210,2020-03-18
qBprF986tWa1CHmudOp0Rw,b232D9DamY1usN8VO7p9ow,False,Walgreens,401 W Main St,2020-03-31
RmgdyhVjHGnQxX0bjr9XVA,VFXKRVzEMbnsDcYFdwiiuA,True,Friday Night Live @ The ROM,100 Bloor Street W,2020-01-30
vJOwJQF4sDqBbecUK4cVRg,u450nDVIBUKgGVp9rZ62mA,True,Kinneret Kosher Pizza Restaurant,1869 Taylor Rd,2020-02-29
5KcrEqWVHrkBH9W8H6cC9w,o-mS1pLszhDac5KVTbyDww,False,Dutch Country Restaurant,15015 Kinsman Rd,2020-01-21
Cqqd6l6jSx7pOnsgtLp_dQ,-P0DwiKBCS7Np2GyZNU2Lw,False,Schnucks - Savoy,1301 Savoy Plaza Ctr,2020-02-23
AELkQIJ1CnV4K8OTvdRkbg,Nnb2c2dqYasj_aopFOpVVw,False,Palisades Veterinary Hospital,16813 E Palisades Blvd,2020-03-21
NDxLVsaoxl7l0qUy5eCN6g,BXgiDKWTan5serpBt2K3IQ,False,TownePlace Suites Las Vegas Henderson,1471 Paseo Verde Pkwy,2020-03-29
albrwWP2nFfxZBb0gDuR_A,OVJp-6vcFy6q09WNoP5R_g,False,Kohl's,6571 Steubenville Pike,2020-04-03
vPyfk0je7cncjN378BruOw,EgSWW9vSUn30u8VndalRbw,False,Clark Tire & Auto,13808 E Independence Blvd,2020-03-15
vKKSF1_1JNnRMaoNPQb5Lw,RzuqmVpJCL9S0DWE8HKCIw,False,Oregano's Pizza Bistro,6738 W Bell Rd,2020-01-03
kZ_QjEHp-ukq2bK5PGaR7A,TJ3kcyQd9osnFE74BXKDkg,False,Fort McDowell Casino,10424 N Fort Mcdowell Rd,2020-03-21
q445vIewVrSzvjPGz7nE5A,9_BP42uly2wOSwS2YSKd4Q,True,Sesh Hairdressing,50-52 Bernard Street,2020-01-14
z8COqmp5DUZWazxgK0LDIg,LMuL5QKDkJZQ1Z8FVyiG4w,False,Xtreme Realty and Property Management,4326 W Cheyenne,2020-01-14
8Gi91EkhG2_CJLk_WqjpEg,REWJmSvh1-fxcwBKyVOJrQ,True,Marlin Maid Services,,2020-01-03
VsrieKQjNfXhAq9zB57AvA,M55ttcRNfDID_Bs_OtezvA,True,Hugo Boss Outlet,605 S Grand Central Pkwy,2020-03-19
kes0Me2ERVCNuTyp_QZLxA,OkLu95HmUE7BY_6Z1Fp_VQ,True,Izod,855 S Grand Central Pkwy,2020-01-23
I4Gbdz5RizunE-RF2w3zkA,iseAkerFOBvk8ShmkJaH7w,False,Villa Pizza,308 S Boulder Hwy,2020-02-14
rofTi935gC7OQ8I0guAX5A,jtpoT6b0-9kLai4L_5EPmQ,False,Life Storage,318 N Boulder Hwy,2020-01-07
UCKeRO02Er8AHLWQlQ3IuA,UBMU-mvv5B6sJoqDDRKz1g,True,Fahmee Bakery & Jamaican Foods,119 Montezuma Trail,2020-03-04
eYukPA1V_TlpLVjTMN-kIA,zma0hPdHYlvvFxZUAiYb_A,True,original best turkish kebab house,266 leith walk,2020-04-05
vj2Rw-W9uXqQ9L8afdpzrg,lpuQAWV0ZSirUYrs85afsw,False,Starpoint Acupuncture,1708 Pineville-Mathews Rd,2020-03-16
NVX_BF_LcDy3fNshXMuz7w,X1m7dtbqZoiGTMnKrJGr-A,False,New Hofbrau,416 Highland Ave,2020-03-28
vSrlrHuK_2DoGcGUPC9aqw,Vx4K7WwvukMCRGdoHgpWiQ,True,LuxuryPad: Superhost Housekeeping,150 N Las Vegas Blvd,2020-04-02
