post_id,author_id,private,title,content_body,created_at
He-G7vWjzVUysIKrfNbPUQ,aWx0cEi0ArKZHiHRSZk6nA,False,Stephen Szabo Salon,3101 Washington Rd,2020-01-07
PfOCPjBrlQAnz__NXj9h_w,n97iD8laSd_pVn2UNEsqhQ,False,Brick House Tavern + Tap,581 Howe Ave,2020-03-15
o9eMRCWt5PkpLDE0gOPtcQ,einZE1ee9koMRg2kMGxPHw,False,Messina,Richterstr. 11,2020-03-29
EsMcGiZaQuG1OOvL9iUFug,Bq8mpImPuwxgd48aET03Dg,False,Any Given Sundae,2612 Brandt School Rd,2020-02-19
TGWhGNusxyMaA4kQVBNeew,sjy7hvkRxuuML7Kce0ADxg,False,Detailing Gone Mobile,,2020-01-05
XOSRcvtaKc_Q5H1SAzN20A,fuxX7GPgGA7H-KQFFDdXDw,False,East Coast Coffee,737 West Pike St,2020-02-29
Y0eMNa5C-YU1RQOZf9XvVA,3gFvyWuFzVYjt0Yc4sw5BQ,False,CubeSmart Self Storage,2414 South Gilbert Road,2020-03-22
xcgFnd-MwkZeO5G2HQ0gAQ,KK_4_p4nVtbRAHJEchGJkg,True,T & T Bakery and Cafe,35 Main Street N,2020-01-18
NmZtoE3v8RdSJEczYbMT9g,mLzJU7jtbkp7377WmAc2sw,False,Complete Dental Care,107 Whitaker Str,2020-03-17
fNMVV_ZX7CJSDWQGdOM8Nw,b3uZmrQxzkDBNRSFaw_GPg,True,Showmars Government Center,600 E 4th St,2020-02-04
l09JfMeQ6ynYs5MCJtrcmQ,HWnPWnT_H7J2ltjwZ1nqOA,True,Alize Catering,2459 Yonge St,2020-02-26
b2I2DXtZVnpUMCXp1JON7A,GANY2r7QqhlEw8lK75SsQA,False,Meineke Car Care Center,2518 Ironwood Dr,2020-03-13
0FMKDOU8TJT1x87OKYGDTg,iz-ooyTqNtcY42n5l5k2Fw,False,Senior's Barber Shop,13375 W McDowell,2020-01-27
lHYiCS-y8AFjUitv6MGpxg,SylipBTXUWreTDTDahiI-g,True,Starbucks,85 Hanna Avenue,2020-03-01
94KziT6DQ9XlBET3WzIv_w,70r2oTKpTXoTDj6M2Dr94Q,False,Fye,1928 S Gilbert Rd,2020-02-28
7YIy1tXOor9VCwvaSjuBHg,i8OmZhIAqvCUrWBVKUfn8Q,False,TSA Checkpoint T-4 A - Phoenix Sky Harbor International Airport,3400 E Sky Harbor Blvd,2020-02-01
PMH4oUa-bWELKogdtkWewg,806GM1XdIVTWoEzaaHcytw,False,GoodLife Fitness,100 City Centre Dr,2020-03-24
VSGcuYDV3q-AAZ9ZPq4fBQ,hkSjqKLWyk4KEqH0bkNy_A,True,Sportster's,1430 Danforth Avenue,2020-01-13
1K4qrnfyzKzGgJPBEcJaNQ,YEm1eLghncshSbB01TOZyA,True,Chula Taberna Mexicana,1058 Gerrard Street E,2020-01-08
AtdXq_gu9NTE5rx4ct_dGg,XjfuizdFZ_sBtoq52lD45Q,True,DAVIDsTEA,10 Dundas Street E,2020-02-18
Dj0S-Oe4ytRJzMGUPgYUkw,GTrlenTAT6JB0ydOckjDMQ,False,Panera Bread,38295 Chestnut Ridge Rd,2020-02-27
gAy4LYpsScrj8POnCW6btQ,DwwPlFN5hHTJ1m5TLWYLCQ,False,Toast Cafe,2429 Hwy 160 W,2020-03-26
nbhBRhZtdaZmMMeb2i02pg,8unLlv-UgMcasYJr21_9kg,False,Sunnyside Grill,2777 Steeles Avenue W,2020-01-23
1_3nOM7s9WqnJWTNu2-i8Q,i2l7FTm5bo-c8YFmCeMFvQ,True,Le Bistro Balmoral,305 Rue Sainte-Catherine O,2020-01-13
FXHfcFVEfI1vVngW2gVOpw,Cd_anA3vbXnBuO6wuMn9Kw,False,Bampot House of Tea & Board Games,201 Harbord Street,2020-03-02
7gquCdaFoHZCcLYDttpHtw,hHkhfOKAoF-jLgLylBwxFg,False,Bubbly Nails,8439 Charlotte Hwy,2020-01-23
8y56fOiKhtCnqaiYB2S2Qg,rsWUmHz-sY9CqXR2osmdZA,False,Brewster's Pub,96 S Main St,2020-03-12
ok38fApaT1TBEU-IH85BvA,GQyBdfFHG_TaCt5RTtO4Ug,False,Kool Pool Care & Repair,3245 W Florimond Rd,2020-03-28
lj0MiK5_fyv9df2twnsI7g,d8C_4QDenR9vKRnbJs4yHg,True,Pampered Hair Passionate about Hair,2470 Paseo Verde Pkwy,2020-01-07
A_Ij4SwFmlRbVtRnsdSzWA,9oLMhmebnwPgE7zTH8pt-w,False,Ciao Baby Catering,15041 N Airport Dr,2020-02-04
tRVx2c89coruPRwYhGTcTw,Gs-WTWz0FShpRtaOJ1g5XA,False,Yuzu,13603 Madison Ave,2020-03-30
BnuzcebyB1AfxH0kjNWqSg,SCnI_5yfOO3xYub1Rkoq0Q,False,Carrabba's Italian Grill,245 Lancaster Ave,2020-02-26
rDMptJYWtnMhpQu_rRXHng,2i2XNBUyCrbyVdycxj4LTg,False,McDonald's,719 E Thunderbird Rd,2020-02-29
DPQnTnNw2PJj7DdENM98Cw,GEU4yrNPjRxL3RPJgoAcaQ,False,Star Nursery,5340 Boulder Hwy,2020-04-03
_F3AMoo_zdl-he384ISQbw,gh_RvEPwTMj5OXp8j9uePw,False,Rock of Ages,3700 W Flamingo Rd,2020-01-07
-ooEO2YqDQVYNHnSF2BPfw,kNEIR3CGVvz1Giah9SVlTQ,True,Restaurant Lucca,12 Rue Dante,2020-03-29
FmGZh8ZwEnSO860_2eiYHw,RMEGRxAosdojvHj3Wzm26A,True,Enterprise Rent-A-Car,908 E 8th Ave,2020-03-31
Pd52CjgyEU3Rb8co6QfTPw,R8Kyowqs6GxzmUGkP3_ELA,True,Flight Deck Bar & Grill,6730 S Las Vegas Blvd,2020-03-07
spDZkD6cp0JUUm6ghIWHzA,KpNnp3PfYVCzwHhHtEoP4g,True,Kitchen M,8515 McCowan Road,2020-02-27
PEKloTo1IkW_gyxp15e8Dg,NIRAdYyqw28VSKCXVIH05A,True,Amy's Lash & Beauty Spa,1219 Yonge Street,2020-03-16
Sx0C2RsDgrG3RxBBUoBqTw,-KXvfQ2kxxDSIljmryYGTw,True,Kool Radiator Service,3228 Meade Ave,2020-03-08
MmR06_kNAbmOPK-0pKvGtA,SRc2pXRJEnzn1V_1aK4SAg,True,Cinnabon,4300 Meadows Ln,2020-02-10
ORUUPE_Ahrcop9K7h6rvVQ,VwVbVL9LMM_pqPprjSc_2w,False,Falls Auto Body,20 W Steels Corners Rd,2020-01-10
r6Jw8oRCeumxu7Y1WRxT7A,anji5i3py5OslgB-z6MirQ,False,D&D Cleaning,,2020-03-19
EJFdWX908N8Yc2XG0Lky8A,Ac3CW633DbJIOqquB_ENzA,True,River Moon Cafe,104 43rd St,2020-01-05
d6ngz4WmMaQL8Xdfur7bwQ,mtnXxOVi5-1QuLHQ_Naz1A,False,Crazy Kleen Carpet Cleaning,15825 W Redfield Rd,2020-03-08
F31RycVVooeIOp9jsXmg6g,3vnKrnZDW9AArd5x_nFhFw,True,The Bluebird Cafe,5 Canonmills,2020-01-17
0lCpaZpmjCFEmtti9O9ZdQ,BH5RULui8H5zRAauZDCMuA,False,LaPuma Bakery,12656 Chillicothe Rd,2020-03-24
2pD9wZWXDNsZf_MXd8rQtg,ujh1WcJuP-vUBB4lcaWntg,False,Carle Clinic Association,602 W University Ave,2020-03-15
iPa__LOhse-hobC2Xmp-Kw,LtGONh0LFhjqt_8MpzQRcA,False,McDonald's,1635 E Camelback Rd,2020-02-25
XPZT3zLrkLkFSkBVxSsM3w,9Gn51Uvj3q3zyZjF9kw4dw,False,Sports Authority,7000 E  Mayo Blvd Building 15,2020-02-11
zWb-kwaANIPMS_AFBbVOew,X-6uTuHI8zNtvnkRAUerUA,False,Banana Republic,32 W Towne Mall,2020-02-07
o1fTwfqN0sDFNpV1CkOPPg,wV4YOQRCeY249yFL3UfQsg,True,Crazy Mocha Coffee,4032 Butler St,2020-03-21
-nHkhiuerqmfBG3v2v9O-g,nG7LKX3Nz6Fd3GqrUUqv9Q,False,Bruegger's Bagels,5217 Clairton Blvd,2020-01-06
NFTh6mj3X2AnHJCKIFUk5Q,D6ipNxBfn25brJGAJP9nyA,False,Fairfield Inn & Suites,8540 E Independence Blvd,2020-03-03
EfYExaDrwhj0k611u5lYMg,KMCi1sjfNke2gQQ9P3dGcw,False,G G & D Motor Vehicle Services,4307 W Glendale Ave,2020-02-16
AZUCA3oiGou2wLnAYG1P6g,voJVY9eC9MXKfk-7igUCJA,False,Emergency Chiropractic,2030 S Rural Rd,2020-01-31
kKx8iCJkomVQBdWHnmmOiA,LtrdwwMedqhqOHl7rKsvWg,False,Little Caesars Pizza,10720 E Southern Ave,2020-03-16
B5EZlEDH6AVDk8tQGHAGqg,wJtRLY7WWssJTuwwsR8-4A,True,Villa Tap,2302 Packers Ave,2020-02-10
bOOgAB_CEWWsxalAthnRSw,DCncGb8nFupjMyyuu0_ZlQ,True,Tenors of Rock,3475 S Las Vegas Blvd,2020-02-29
l5ijDMpYdyKbF0CxiCVO_Q,jTfSo9CO-KkY-gSInGseWQ,True,Starlight Tattoo,3400 Las Vegas Blvd,2020-03-09
VXH7zXcZzXlmAVN8GSjGRQ,cTo_45Y224gNstbayENRrA,False,Thai Express,4700 Keele Street,2020-04-03
8XQmnE-v6RrsHiqEz6QXdg,1Cz-eDxoPfpOfm9eCNhoNQ,False,Havel's Flowers & Greenhouses,9294 Mentor Ave,2020-03-07
YhV93k9uiMdr3FlV4FHjwA,hQJI0jxiUfb0jpveBpyaBQ,False,Caviness Studio,,2020-02-14
w5WBrukfSuEyTjYUYlV4Ug,f9x5TOD-L2z-RKe9EKHnyQ,True,International Exposition Center,1 I-X Center Dr,2020-04-07
