user_id,follower_id,followed_at
e7rPPBVpOujIas2rVd03BA,F9ryadSyr6hy3jDodPYhyw,2020-03-20
v2FKA7NadyaDOLRy-QjikQ,KGsXnYHvYddGaL_jyl0DMQ,2020-01-14
v2FKA7NadyaDOLRy-QjikQ,YoE7axlHHX1HEdXMhCsxJw,2020-01-14
ORteLaZ7WaOPhh98cq2XiA,ugwgeEcpa6l5MWVjdFNjbQ,2020-01-13
zc_q9YOeZsv75cOaRACX8Q,M0wboSeNo2qB-7IV3f7D2w,2020-03-08
zc_q9YOeZsv75cOaRACX8Q,A8tRT_RCcSCgkxnuGDHmhg,2020-03-08
SpUmu8Zk1LyilPb7uU-_VQ,MMf0LhEk5tGa1LvN7zcDnA,2020-03-31
SpUmu8Zk1LyilPb7uU-_VQ,7SN81BGKQSWcH-y1oh1k5Q,2020-03-31
SpUmu8Zk1LyilPb7uU-_VQ,qZB8BZ2ZzMF0VfIGhttu7w,2020-03-31
2mzhZzVZby1M_VxmVglNpg,1dWLN4Mr4hKhu8MQUCKqXQ,2020-03-01
-ASJDd1KtC2vZ4Cs6jXj3g,ez24d08Qyqb7mCKEuTaifQ,2020-03-23
LJLoIfcfsaRnizaKCPBx6A,6re37q8hQ5bcbL-YqrsmMg,2020-03-06
LJLoIfcfsaRnizaKCPBx6A,ygkpsZ-JKp8p8hiX4PWx0w,2020-03-06
LJLoIfcfsaRnizaKCPBx6A,Wc9LZWyaaGcKDr7NrjmCsw,2020-03-06
LJLoIfcfsaRnizaKCPBx6A,AIjcKcovAnFuVIjLz7oA3w,2020-03-06
ECIFR_AbNvYWq8OgC43udw,SNyDeFU-9t-zxK0PHnTrZw,2020-03-28
ECIFR_AbNvYWq8OgC43udw,sZHNqTSjgyAmQ1jVbv1ZsQ,2020-03-28
ECIFR_AbNvYWq8OgC43udw,ygkpsZ-JKp8p8hiX4PWx0w,2020-03-28
ECIFR_AbNvYWq8OgC43udw,jwvmw22-y4eMq2rzi0wAeQ,2020-03-28
8spU7LdX65nbMkicwTXkFg,OkxmhSks6usM0-a86vrNzA,2020-02-17
14n53EaoSipgCkiJng5bZw,BWFF5dX7oE5F-IB8hc36Kg,2020-01-25
JOfwZUWT7sgGqmRZbqKveg,KYcEPJEHs9ctyaLoTnyJuw,2020-01-21
JOfwZUWT7sgGqmRZbqKveg,Qb0ZfVOe33QVjNHGoGBabg,2020-01-21
nCsmjW8xJsFzZ0MuLi70cw,wSSfAWXhsDjjXXUw8Q4o_A,2020-04-08
p7HMe4REUwSHn9in8mUQMQ,QG9ZJatKSWj5p5VrW3cfMA,2020-02-05
p7HMe4REUwSHn9in8mUQMQ,5FAD2Yq7DLBQ_-ef1iDA-A,2020-02-05
lhSFb7XZvL8oFUeN1bBrTw,XvbU631-FQ4GTS2zMa-YvQ,2020-01-19
EjAP7MAZhblzdH4rGQXzEg,XZDOSHhF-u6YnXWWxveRYA,2020-01-29
5uASyV7255f6Rzzk-Dhvbw,-H7ETnC0HaXQVpHWaFBgQg,2020-03-19
70gVes9pLcT8kmojmtR0dQ,Xeat9MEWQicG81EVzFD17w,2020-03-29
OEKo94b5Dofy2TssYyn4zw,r5WO8TRsKL5N3A09JSsgRg,2020-01-07
2XPFAxICeBIAZC74z5qAEw,9SmZsp2AaXhXr4tinaoeAg,2020-01-04
2XPFAxICeBIAZC74z5qAEw,hqAr5h90By9XhU0JJaGqcQ,2020-01-04
2XPFAxICeBIAZC74z5qAEw,t0rFBojfJ3VHp3cJ5jiyPA,2020-01-04
_KMiTTmGPMXw3FnN9HSrMQ,iZA9UiA7ibxIEFxya3vVAg,2020-03-23
3zl1eRlS85WL2p91GmsHlw,SIGQgzGkVb_EHsRIvskmmA,2020-01-07
SKs-VhjrZLHTrlf0UjY6Sg,0z6Bp7siNkijAsRUVbqQpw,2020-04-09
dctCWjdmdJDCBaso7RDDHg,UI9Z5NUwtTcrEx9DBuaeVw,2020-02-07
pv9FJYVoK1S48SzXBH2Xiw,kwHY6Ka478U_H3isP0Lyuw,2020-04-06
pv9FJYVoK1S48SzXBH2Xiw,ONFMSD6iMJ2Y9KPl8zZ2yQ,2020-04-06
pv9FJYVoK1S48SzXBH2Xiw,mYZBDDWikrnSexphG9YMvg,2020-04-06
pv9FJYVoK1S48SzXBH2Xiw,71sGcrLKBQ0Gun_ZBV-Kwg,2020-04-06
t88Pd6TxZs__Tum0v08jcw,HvhkpRmLJmVRJzy3FWwRUQ,2020-01-12
e5MQZxFopYHuQGBXpg6isA,-gN7r8iOBKGeh4LJkn2QeQ,2020-03-23
e5MQZxFopYHuQGBXpg6isA,cBFgmOCBdhYa0xoFEAzp_g,2020-03-23
tzhCRLCAA-mqmw35FxPJ_Q,6_dqfAij74b-Wn-9n7ZpwA,2020-03-16
68oNHfM4C9bEi_4BleOgWw,PVs2hLuFD8Eq3pVPzkSxoQ,2020-02-02
6Ielols-udjwowhswR1RGQ,LDtVHTiJEja1oxxgdC1VZw,2020-02-23
TtAz7-VQxoAuSK7HPiBLdw,LFiLbQ6rNNjHS3mWwDmKEA,2020-04-09
TtAz7-VQxoAuSK7HPiBLdw,8DEyKVyplnOcSKx39vatbg,2020-04-09
TtAz7-VQxoAuSK7HPiBLdw,Bv3Zt8seTtqks7PoriKvSw,2020-04-09
MMwPnmkaCFI1dJOje-n7hA,CEzX4YwAGc5rm75ME1vEyw,2020-03-31
MMwPnmkaCFI1dJOje-n7hA,usoQzdaYREgL1-rANcZl5w,2020-03-31
MMwPnmkaCFI1dJOje-n7hA,3uPAF2-YwiTUN5NvVH6pIQ,2020-03-31
MMwPnmkaCFI1dJOje-n7hA,sWeg9ffWlhbxgaGBuPqgCw,2020-03-31
ThHjKYwt5lW_hkOkNxn-Mg,lExOB_6bIysguxctQR832w,2020-01-24
ThHjKYwt5lW_hkOkNxn-Mg,5J5l4MzYDRUqE-xwKYq4rg,2020-01-24
cRxEDb2zybInt_ugEFVpdA,u1Gs4fsFrk5n8rMxti_8zg,2020-03-05
zd_RXVZRj0UHqtXwZbg30w,anEkbuoi6gDmKy3CbO0GGw,2020-03-03
7NNhRyUV2EKVz4957Iy71A,jXjw-V8rLTbHH7STPxBmdA,2020-04-06
L8GG24WK6QCm7KByUQLd9Q,s2EAAQPIlEwmForg9h5uJw,2020-02-12
DerX5H5vXEbgvPH9IgpFgg,w-f0fvGgRM1Z_PqgyTyUFA,2020-01-30
DerX5H5vXEbgvPH9IgpFgg,u9TaTR7AdlQlaK0NveiCaA,2020-01-30
DerX5H5vXEbgvPH9IgpFgg,lgeZmxPLjYFAq5U31NweYg,2020-01-30
NwMBrGmE4o19L7yNvHE9JA,Eg5niduTCVnaIBzGmoLiVQ,2020-04-07
NwMBrGmE4o19L7yNvHE9JA,unY-F7AsYkQDvILMpd3jPw,2020-04-07
NwMBrGmE4o19L7yNvHE9JA,lNQZviJYo7FNBgEZekL6CQ,2020-04-07
9dPaBvxQTBwZA0-pba_HfA,etE0JRxRLkYTY_E7WAYJwQ,2020-02-22
9dPaBvxQTBwZA0-pba_HfA,qZtd5SDe6xoQQ8DEhHANvw,2020-02-22
iVutc4IoUWuM00u-6dEYvw,wHrIy02OYTKYT1YdxPjhwg,2020-04-03
iVutc4IoUWuM00u-6dEYvw,gUhtT4k6n4yjADt7jd-jwA,2020-04-03
FGgZegnRL-FBM3toOyVdLA,qLewVPYTF1l1a6EWAOuE1Q,2020-02-14
CH9VC7aLLsV8NFdaoU_uog,dYEHTYJeDJ4v8AUiExaVsw,2020-01-08
CH9VC7aLLsV8NFdaoU_uog,Q1IENmNc6bdDruACmhy4mg,2020-01-08
CH9VC7aLLsV8NFdaoU_uog,ApjSaDZD9OeSqimHE9Qo0Q,2020-01-08
33L2JpqyckziruX9Q8co2A,0qrC8VnoF1Llq7UVEO_BXw,2020-03-09
wXCs-2RqDbeS5nQ8oUtJOQ,jx8ZLkuWt-r8UVngwEOiXw,2020-03-27
e-1gwrBbJ0UUk_iMU2l7Qw,OCv8HQSz58QKfqoIDUSuDQ,2020-02-24
e-1gwrBbJ0UUk_iMU2l7Qw,hKk54wnPClDxH2yT67NDjw,2020-02-24
tRM3RS44EhQT9m3aNB29Vw,S-NqI8GU2B3KgM8NRPnyLw,2020-02-06
LSJGLrTlG3ZOumBJOU0mXQ,DPitNu466172os6m0Yri1Q,2020-01-19
6NBOlC31vfQNL8-73jK_cA,0wUUR9fJfSjHdulTauIpVw,2020-03-16
6NBOlC31vfQNL8-73jK_cA,vpdWPzcpI0uR0hTwnrRylg,2020-03-16
6NBOlC31vfQNL8-73jK_cA,Jqso_2VmBnU-BBzvwhSMww,2020-03-16
syQQ4lhCqKl12Uc30vPbBQ,QLnUfVMBkriTFfDWSdkJMA,2020-01-20
syQQ4lhCqKl12Uc30vPbBQ,syCxRdiP-0XJenWpJ8L02g,2020-01-20
hq6nr1zAu8kL80iSlrDrZg,kqVJGN3kK0r3uPNLQYtlMQ,2020-04-07
hq6nr1zAu8kL80iSlrDrZg,Xu4oKPxHO6k17w8o9FhtqA,2020-04-07
89414PH4Vq7jxpaHG1WuqA,30MF11aVeNzII08fUzM7UQ,2020-02-19
USjyHcFwRbHgoVMSMqgWIQ,1IhkVz07XayVyd1NKMJLZQ,2020-01-01
USjyHcFwRbHgoVMSMqgWIQ,29TQpZvm6C9BEsnYqr_pYA,2020-01-01
USjyHcFwRbHgoVMSMqgWIQ,8cr1faDgI8e0-oUKIyvxZg,2020-01-01
8d1aH1RLE2bzp96266L4jQ,sdEWF1D8OfZaX4eZNMssfw,2020-02-02
8d1aH1RLE2bzp96266L4jQ,bjtJ0AjJU704I2oNm7mG8w,2020-02-02
SgsiRaXxjlF_NuBgrhwmGg,DclJ9mIx9Lf28ATE4XqV9Q,2020-02-18
dQlf4l3SEYm6OmBVLO8sAA,1WQ-HCIXNgH9I32Wqyb7Kg,2020-04-09
AwqxDqqodPn57LqnoKtwxA,t8y1B5tjlOzZPeP37Mv3AA,2020-03-22
AwqxDqqodPn57LqnoKtwxA,9xppB_mrDBH3agQA8uLZOg,2020-03-22
sZTjpe4v540DKv0G-XmeZQ,8DEyKVyplnOcSKx39vatbg,2020-01-22
sZTjpe4v540DKv0G-XmeZQ,gvOuN8PAUJHOfbO03dOgUA,2020-01-22
WBtKDhot9qE7znAAK1AUoA,Kr5f8dNEwOJXyRhzdMTvtg,2020-02-21
