"gQUJflx5o1dy6ZQ6bS3y4A","Jordan","6","2013-02-02","vCYPAeCFE7W5tdn7fVtsBw, gjqSs84xEEzxKF69jxpPPw, O4-98DoRWok_s4If3uejWQ, gapz12G_lzLndaUCzPqxbQ, Ry1O_KXZHGRI8g5zBR3IcQ","0","0","0","0","None","4.67","0","0","0","0","0","0","0","1","1","0","0"
"ISiA07LXXZND1K4dYx25xg","Patricia","1","2015-07-13","UIhrhJ1Tlky-WC22Bz2cyw","0","0","0","0","None","5.0","0","0","0","0","0","0","0","0","0","0","0"
"jgr02i0jLH7tfrQHKjKiJw","Corey","33","2013-08-11","zGkLS0rADEgnuJbXfcfm9g","71","70","17","1","None","3.33","0","0","0","0","0","0","0","0","0","0","0"
"wbYWgTS-vzgfVYV_C1qhig","Victoria","12","2013-05-16","9W73B44Iw8WslrTNB2CdCg, lARj3o1GPuFKrN4UJmnqoA, WeVkkF5L39888IPPlRhNpg, Q9mA60HnY87C1TW5kjAZ6Q, t5HrTANC5oVeVNRqe42bVQ, LPg5wAxiZWNhVIqMSN2j1A, wOWT8bL1qKKp9pm71F8_-w, D4_8sZyDLx1A2gB7p3Pqdg","2","1","2","2","None","4.0","0","0","0","0","0","0","0","0","0","1","0"
"C9FEFiCSMlMI4yOOMSVBGQ","Chris","29","2009-02-15","-2Zsuc9pbhAmqSqsLPLcKQ","16","6","6","0","None","2.76","0","0","0","0","0","2","2","1","1","0","0"
"Oah-KNqC0-YEhVcM1sPEhA","Johnny","11","2013-07-09","dvyWvdgEKHW4mMrUmocRBA, fnzP_xlSjnzElb6Hn_5ZLA","0","0","0","0","None","3.91","0","0","0","0","0","0","0","0","0","0","0"
"QNBJjVHi1aKZGywGnaxMyQ","Prashant","78","2011-11-21","G2mXYFQH55WdsT844I9o2A","5","0","0","0","None","3.0","0","0","0","0","0","0","0","0","0","0","0"
"w-IzBG9ig9kfLKS96F1r1Q","Ryan","6","2010-05-27","2YhDWEE3nOr9PlX9YqG6dg","0","0","1","0","None","3.67","0","0","0","0","0","0","0","0","0","0","0"
"rNIpxm-eYbMuWCdAyCZS5Q","Jenny","11","2012-07-07","0zUTkqD8-RTraMawDR8LGQ","5","0","1","0","None","4.92","0","0","0","0","0","0","1","0","0","0","1"
"5YiBh05N53Zdb_sXZFcG3Q","Shawny","6","2011-09-26","scMYoaiIp1GsQiMrr7qnUg, O_GWZZfQx7qv-n-CN7hsIA, Mv-jtBG5HnBPCqlLI-VQvQ, vACgMibpuNzSqVqNFXy8LA, Dhxund8MiuElbaIMbmC3tw, RSPK9JqjKsWwU9c3rDPWEQ, w1x5vG6aAKrEfCkq5-ORbQ, b3dZNS10r4Ji_iF3qfcthg","13","4","2","1","None","4.83","2","0","0","0","0","0","0","1","1","0","1"
"qglVQUVSasT915UKITT_Mw","Amit","8","2013-10-21","0DRDdYYaiSq6ct-2sYqycA, sRk1ax50ltgGzz_zE2PxGg","0","0","0","0","None","2.5","0","0","0","0","0","0","0","0","0","0","0"
"SVJajz8qn9JpMthC_d-3mA","Stephanie","26","2014-11-15","3_Dd3dyoYG8FJh1wfXuK9A","7","0","0","0","None","4.67","0","0","0","0","0","0","0","0","0","0","0"
"LkM347Tf0KWQPJC-ylFlBg","Al","13","2010-04-28","YK_rO5oQBz5peyiTXzdA7A, 0J5xpPstz4HH2FkCCdDFLA","7","3","2","0","None","3.38","0","0","0","0","0","0","0","1","1","0","0"
