admin_id,name,memberSizeLimit,created_at
rk8WAi1n5fJrH6PdDNla2g,Markham Village,8,2020-01-09
nKpkzq0gNR7Wah38iNuvWA,Uptown,8,2020-01-27
NvsyrZGZIxOCNazbU09XhA,Yonge and Eglinton,14,2020-01-13
u7bltrQRI3YG1mPlSG8HEw,Liberty Village,15,2020-03-07
aQCFP-C2i0nS8ItYdoXS1g,The Danforth,19,2020-02-04
0KdqcQ60dQRxVxlppPnD1g,Leslieville,11,2020-03-13
IC3Qsm49uMsilE1ZvH5wYQ,Ryerson,17,2020-01-13
m3R35cEy392g5DLW4YPFig,Ville-Marie,5,2020-02-12
YMW-QVJKlRXADloX9eNcUQ,Anthem,17,2020-03-16
WqObtMLZeSqrgwaJPrkTHA,Rosemont-La Petite-Patrie,20,2020-01-13
hXdwaqKu8tIky3Ii0nl-9g,Homestead,5,2020-02-10
BVRoLgIQNj0oyBc7Ar6SsQ,Southeast,12,2020-02-18
pJz3I8QoRJC9BZDtvgUIZg,Unionville,5,2020-03-26
k-g4eL-1x4HQXolBUXJmgg,Summer Hill,5,2020-02-21
De-XThxFsEyTE5W42WAlZg,Westside,7,2020-02-10
gsTHY7PQgBSn0d_UJgCBMg,Lawrenceville,5,2020-04-02
dluVczdPw4t6f0-YPGJ2qw,Cannonmills,6,2020-02-25
UuzoYFoldy_TgbqLpzk9eg,Sherman,9,2020-01-26
lHBTZpw4eV8yUB8nUjv-qA,The Strip,10,2020-03-19
R4NvLFN0AAr-zv94K4B0tQ,Riverside,10,2020-03-13
W26P2zoIWf8p4i17wTsiGg,Scarborough,17,2020-02-26
86y52KX3YJtGUQNc2gxJMg,Downtown,9,2020-04-05
SRnp9zpCm8W0nd4-SvzfZA,Milliken,7,2020-02-09
mRyxVfR-GEC72wS0zKtgxA,Eastside,15,2020-01-07
zVPwxwCc1gqDi_vVHx6TZA,University City,17,2020-01-08
ULvlNZXgJv6-AFnC06Z47g,Rathaus,11,2020-01-01
7FVyfzrXCWND0BazC3nS9g,Saint-Laurent,6,2020-02-02
a4aRZcEGe2J5cNkFOmPIHA,Capitol,13,2020-01-09
JOjQev0QnOqQDKnJ02bY7A,Oberer Schlossgarten,13,2020-01-05
LLSyphVEDksMHgYffvnh3w,Sunrise,9,2020-02-08
Eo3nXWINKc4aQEtTciw2ZA,St. Lawrence,6,2020-03-07
KXzFe5WgYn0OLHhC4PTvPQ,Eastland,10,2020-03-06
SprWxQSY0aY08Qa9x4SdBw,Notre-Dame-de-Grâce,15,2020-01-17
eoEFZ_TpyOx8cqqrfT1tAg,Villeray-Saint-Michel-Parc-Extension,20,2020-01-22
QQ425lLuhoFDDFPgf_MChw,Downsview,12,2020-02-08
litgItOjtsNRx1dNMfFDCg,Mount Pleasant and Davisville,14,2020-02-09
49sB6ORDKnexC9yDRm2lXw,Squirrel Hill,6,2020-03-27
oJVWpomIuft9_NVRja7h9A,Downtown Core,18,2020-03-01
wskIeehjh5pdUCnxhCJ8gg,Queen Street West,15,2020-02-13
MQ08I_umPZfkGeVEzRMLhA,Edgeley,19,2020-01-23
hFefNv6jWn3_cSjN_UwXNg,Bloomfield,16,2020-02-06
Y61JFXkieC3be2JYSQqMmQ,Goodrich Kirtland,9,2020-02-14
Oh5tTYkvUEZXE3BxzGlOmg,Banksville,18,2020-02-24
NyP8I7W0cJlSsKc4DsNxNQ,Christie Pits,20,2020-04-06
gCJr06beTxVbjtUjV4xhxQ,New Town,17,2020-01-17
obJ8Tf8Tm66hgXicaaXYhg,Spring Valley,16,2020-01-20
j9aGtzLVnkPO4APcZC73Jg,Upper Beach,10,2020-02-22
s82GcMN2jDEitfQKUKD4Mw,Ohio City,10,2020-01-19
LFoFl-R9inAUmOobP5vVOA,Kensington Market,15,2020-03-15
qdRDWqeTaOji3mMeFfKnqg,Campus District,12,2020-02-08
CmfXE_g80NiVyDS00hO-QA,The Annex,13,2020-04-03
pDs4emwGSEhRsGec7D1sqw,Laval,18,2020-03-05
tiwxcguI2zqEsUhHGH4Vzg,Brockton Village,11,2020-01-25
_C1xHhpo_baZkEqI1ScD2g,Etna,19,2020-03-11
KwBUxZE6M2vP5AWgiEs34A,Seaton Village,13,2020-02-12
ZWrIZl1NQf7S4MmfMj2VWA,Gateway District,16,2020-01-31
8Q3iGP4CUsVW2uKMHb--CA,East Credit,20,2020-03-05
dJP1RDSrtDnSDCM2i23Wow,Beaconsfield Village,6,2020-04-04
Fl0HJVopNznxlxUxp037Tg,Plateau-Mont-Royal,19,2020-01-18
O6hegGzdTcpNxi_050LAEQ,Fairfax,10,2020-02-15
n1-6U4OtahHMG3AHTbMiaw,Verdun,19,2020-02-22
EDS2syTpt9bTyqewbTUJEg,South Side,11,2020-02-07
6BmSfOR1H4pqZVYNpNV_DA,Ahuntsic-Cartierville,18,2020-03-23
sp6Thrtko5kPXufdOb0gxw,East Liberty,16,2020-01-29
Lop7TtILtSgfjn3PA1thGw,Entertainment District,5,2020-01-29
o1bKmwoPRVf69QeMNw1hwQ,Puritas-Longmead,10,2020-01-03
eAtSZoiFDotXmJtu95BFsA,Sud-Ouest,13,2020-03-02
UuAsvnbEJptJb0N721gG9w,Newington,16,2020-01-24
fTEREDBnaMGZy79lZJOB6w,Côte-des-Neiges,17,2020-02-03
QSXJCoTetUFWDBfFOOYUCQ,Centennial,19,2020-01-20
_JIzQKaRjo0oDaaOIwjVvg,Northeast District,13,2020-03-12
YYFJ9rH754IlS6p1a8ZdEA,Summerlin,10,2020-03-06
XEZaBH35XMCw-LbJ5JDKow,LaSalle,12,2020-03-19
libdukS-jQTKTPu4chSMpw,West End,19,2020-02-08
SawWVhWRDq4N14FQP-xFRA,Church-Wellesley Village,16,2020-01-15
tpbxmFH_V-_VTGF7jJ7k9g,Highland Park,14,2020-03-26
zZrWJA5ibm3mK4z0vm1DYg,Norman Acres,20,2020-03-31
YL9bTV9s2l7vGkVW3OyiqA,Elvehjem,7,2020-01-25
_ew5Rwr7K-_nWFBSgf4QPg,Beechview,12,2020-04-02
TUeY_cGaPM0x0xdog0r3Jw,Ballantyne,20,2020-02-04
mVHnf8yhyYx7bIuhU9khpA,Northwest,11,2020-03-29
nzWAeNhw1Z2HVm4gde4Kdw,Southwest,5,2020-03-11
hTZtyK82nBq8rjBdQXNKlg,The Junction,13,2020-02-10
C6aQA2OCrj_YeUvnh4tXng,Maple,14,2020-03-21
B6T8ZPLl5B7WKU9245Yssg,Corktown,6,2020-02-28
_HqM7y7UA8kq2jdch10urQ,Hanlan,6,2020-03-20
r18p34iac1nUt8hxf1tj1g,Elizabeth,7,2020-02-15
EjEHm85UntnFUx3EKnNg0Q,Dixie,20,2020-01-13
mnwTifYnaMnlRRNdedkwAQ,Pine Grove,17,2020-02-14
_1SnZZc7m835R7x5JZG6fw,Buttonville,8,2020-03-24
0baeFvRiet1DUKYOLSA4kg,Bickford Park,6,2020-01-10
vv37m8U3uck01VlBpJYpWg,Willowdale,7,2020-04-08
4WWaqE8t_8wn19fpeNQPiQ,Koreatown,10,2020-02-29
Ot6rnsVs_ZlImYta_E3hfQ,Little Italy,5,2020-02-18
vKZ8sqZOHPY46GUku6-ELQ,Old Town,11,2020-03-12
dtSK5AKAZIPj4mnkfsqfQQ,Trinity Bellwoods,12,2020-01-19
_JBuOZHBElkAu9IHVOUm8w,Etobicoke,5,2020-02-16
wCLWbv-kTQuMKu6hOB-ftQ,South Park,12,2020-02-02
e3PhLkiGZD3oIGG-XN51hQ,Dufferin Grove,18,2020-04-04
oe4wRh7P25WRxyZRzfCyEQ,Niagara,8,2020-04-09
7BiBVAeTP71fVn8lVsCnGg,First Ward,20,2020-01-09
EDoAKHB_D0xA9tj5W0saBA,Point Breeze,5,2020-03-15
S2Yw360YgPOj2y4S86Im5w,East York,12,2020-01-19
bdLGgf9fGbNIneJ-jofevA,Oakland,14,2020-04-01
huGqLxVyYr0D0WzGPnyjQg,South End,11,2020-01-30
sDN3w0VeBc4vUolnJE6zVQ,Starmount,5,2020-01-19
