admin_id,name,memberSizeLimit,created_at
bWaHSE5fqk994_hDJ4bwwg,East Carnegie,13,2020-01-08
r1bcsA966ABJ6skfh_xhdQ,Glen Oak Hills,5,2020-02-19
0xoTiLD3xfY4QPxQFpiU2g,Stockyards,20,2020-02-12
v9mWUUivFCCKceb0FA7qXw,Brentwood Village,5,2020-01-24
OJhuFOqYFBzYnvogzGAuAg,Maple Wood,19,2020-04-07
69xYNV-OgCcgFnxEBe4CDg,Lake View Hill,16,2020-01-02
vW8MB0g1LZNJNNYFEQnxnw,St Peters,8,2020-02-13
8x6xjNCbYKeXvyvgNwBpZA,Crafton Heights,15,2020-02-16
MehVcfsKHp515zj-rIEI5Q,University Apartments,8,2020-01-04
LVl_UIFxAKYc0nlo_rQrpQ,North Valley,11,2020-01-16
z-DbhS74KapKCDVboZDyJg,Whiskey Island,6,2020-04-08
cb8X0vmjeZZxaT1V6VOgfg,Ridgewood,14,2020-03-13
6bRLM7AQ00Dy5r2adhv8pg,Collamer,19,2020-02-20
uw2e9Z-QXWcU3c_kEqaoPA,Park Ridge,18,2020-02-05
