post_id,hashtag_id
jKrlc4xQIvfzDZ8eNfqxwg,8
jKrlc4xQIvfzDZ8eNfqxwg,254
jKrlc4xQIvfzDZ8eNfqxwg,9
WDpBUEgbFZ6hrViInkVAig,397
WDpBUEgbFZ6hrViInkVAig,77
F8okm6bnvmAlvCG-rubSJg,18
F8okm6bnvmAlvCG-rubSJg,35
3KzzG6dw5aN9eIo3cGHaSA,12
3KzzG6dw5aN9eIo3cGHaSA,7
3KzzG6dw5aN9eIo3cGHaSA,73
3KzzG6dw5aN9eIo3cGHaSA,20
3KzzG6dw5aN9eIo3cGHaSA,13
R2YOSUCmsdmdpmvV0L8WxA,8
R2YOSUCmsdmdpmvV0L8WxA,163
cXyuQTEVh8NEqFZWerVshw,156
cXyuQTEVh8NEqFZWerVshw,148
cXyuQTEVh8NEqFZWerVshw,64
oFwr1It81SObzC3MZ66vqw,13
oFwr1It81SObzC3MZ66vqw,131
BxeLe8nY6kZ1geKijNncDQ,255
BxeLe8nY6kZ1geKijNncDQ,123
JweD4oBHn1R5NRvF8lcxKQ,15
JweD4oBHn1R5NRvF8lcxKQ,17
yVP5YYFfDxOD-6t_7IQt0Q,6
yVP5YYFfDxOD-6t_7IQt0Q,2
KRepT7386qgG3A-6YBzVmQ,160
KRepT7386qgG3A-6YBzVmQ,17
52CTkupw9Zf2HcQ3bdktIg,576
52CTkupw9Zf2HcQ3bdktIg,256
52CTkupw9Zf2HcQ3bdktIg,257
52CTkupw9Zf2HcQ3bdktIg,22
JnRZbZ7E4VpCh83U56CPMA,141
JnRZbZ7E4VpCh83U56CPMA,17
JnRZbZ7E4VpCh83U56CPMA,53
JnRZbZ7E4VpCh83U56CPMA,13
blrovAH_SSlyXYGqsvmY8Q,37
blrovAH_SSlyXYGqsvmY8Q,58
blrovAH_SSlyXYGqsvmY8Q,172
blrovAH_SSlyXYGqsvmY8Q,2
blrovAH_SSlyXYGqsvmY8Q,199
blrovAH_SSlyXYGqsvmY8Q,6
Qc9BkjauJ79dd2Z7zMyg6w,17
Qc9BkjauJ79dd2Z7zMyg6w,15
YP172DJ6RjobUg528Fa8Sw,37
YP172DJ6RjobUg528Fa8Sw,97
YP172DJ6RjobUg528Fa8Sw,381
YP172DJ6RjobUg528Fa8Sw,22
YP172DJ6RjobUg528Fa8Sw,272
YP172DJ6RjobUg528Fa8Sw,94
YP172DJ6RjobUg528Fa8Sw,229
DX6dTm7wcOBy498gGysdAQ,9
DX6dTm7wcOBy498gGysdAQ,48
DX6dTm7wcOBy498gGysdAQ,11
DX6dTm7wcOBy498gGysdAQ,13
DX6dTm7wcOBy498gGysdAQ,8
wpgYqDf_L427Os8cBNpsbA,93
wpgYqDf_L427Os8cBNpsbA,394
wpgYqDf_L427Os8cBNpsbA,30
-F_AgxivXAvqOLzE8elnow,59
-F_AgxivXAvqOLzE8elnow,8
-F_AgxivXAvqOLzE8elnow,9
mPk43gs2O2n06MNR-uDKfg,30
mPk43gs2O2n06MNR-uDKfg,93
mPk43gs2O2n06MNR-uDKfg,817
dHI6YDCDuU5X9tS-3y0Bcg,9
dHI6YDCDuU5X9tS-3y0Bcg,8
nEJAI8LLlYhQTkVrRJXR6A,15
nEJAI8LLlYhQTkVrRJXR6A,17
opvd8U6pD7UBMi05zvFOTQ,381
opvd8U6pD7UBMi05zvFOTQ,37
opvd8U6pD7UBMi05zvFOTQ,272
opvd8U6pD7UBMi05zvFOTQ,22
opvd8U6pD7UBMi05zvFOTQ,47
opvd8U6pD7UBMi05zvFOTQ,593
opvd8U6pD7UBMi05zvFOTQ,94
VDvcxFhe3NttPUzftJmHjw,13
VDvcxFhe3NttPUzftJmHjw,15
VDvcxFhe3NttPUzftJmHjw,17
VDvcxFhe3NttPUzftJmHjw,10
XcricTBH9J2_2DpkYVGaCw,253
XcricTBH9J2_2DpkYVGaCw,8
uEtYoI317lg5ppvyorUYgQ,18
uEtYoI317lg5ppvyorUYgQ,35
uEtYoI317lg5ppvyorUYgQ,33
uEtYoI317lg5ppvyorUYgQ,34
-6SFHn0zEW06XgNCKVgQjg,411
-6SFHn0zEW06XgNCKVgQjg,18
-6SFHn0zEW06XgNCKVgQjg,832
-6SFHn0zEW06XgNCKVgQjg,60
-6SFHn0zEW06XgNCKVgQjg,301
-6SFHn0zEW06XgNCKVgQjg,530
-6SFHn0zEW06XgNCKVgQjg,627
-6SFHn0zEW06XgNCKVgQjg,84
-6SFHn0zEW06XgNCKVgQjg,19
-6SFHn0zEW06XgNCKVgQjg,409
IWDA6Tp8aFIaIqJJnZF0oA,101
IWDA6Tp8aFIaIqJJnZF0oA,13
IWDA6Tp8aFIaIqJJnZF0oA,14
IWDA6Tp8aFIaIqJJnZF0oA,139
8uLC2PoShQ6K5xnTTACddg,169
8uLC2PoShQ6K5xnTTACddg,60
9-HjDIl4VRmTP23g0elUEw,663
9-HjDIl4VRmTP23g0elUEw,47
9-HjDIl4VRmTP23g0elUEw,77
zECBu68I5DZl6Xxya1Dn7w,47
zECBu68I5DZl6Xxya1Dn7w,1028
zECBu68I5DZl6Xxya1Dn7w,768
bt0ZUJWmAJhjYmfPCzgRmQ,13
bt0ZUJWmAJhjYmfPCzgRmQ,253
bt0ZUJWmAJhjYmfPCzgRmQ,50
bt0ZUJWmAJhjYmfPCzgRmQ,70
bt0ZUJWmAJhjYmfPCzgRmQ,310
bt0ZUJWmAJhjYmfPCzgRmQ,7
bt0ZUJWmAJhjYmfPCzgRmQ,14
bt0ZUJWmAJhjYmfPCzgRmQ,344
bt0ZUJWmAJhjYmfPCzgRmQ,8
WQ1IKld2kUXOf0Md-p77WQ,58
WQ1IKld2kUXOf0Md-p77WQ,6
AAAkN8rNGBOlYCTp390ULg,153
AAAkN8rNGBOlYCTp390ULg,316
AAAkN8rNGBOlYCTp390ULg,147
AAAkN8rNGBOlYCTp390ULg,160
AAAkN8rNGBOlYCTp390ULg,37
AAAkN8rNGBOlYCTp390ULg,17
AAAkN8rNGBOlYCTp390ULg,97
AAAkN8rNGBOlYCTp390ULg,145
SH1WIsCq1FJ9SbGEssYO3Q,42
SH1WIsCq1FJ9SbGEssYO3Q,332
hoLFXFgUY_la0o46ULc-DA,9
hoLFXFgUY_la0o46ULc-DA,8
2CNCcHA9txth664ALX1wvA,131
2CNCcHA9txth664ALX1wvA,13
Inh4zML74UuNekCzM_JP2w,2
Inh4zML74UuNekCzM_JP2w,36
Inh4zML74UuNekCzM_JP2w,6
Inh4zML74UuNekCzM_JP2w,3
iphz-5S5ap4B6b-hW5dgzg,59
iphz-5S5ap4B6b-hW5dgzg,9
iphz-5S5ap4B6b-hW5dgzg,8
WtvDGvduFU-IH1qxrZNcJQ,107
WtvDGvduFU-IH1qxrZNcJQ,13
uI_JANZUD9Wr9jDgqTbaaQ,627
uI_JANZUD9Wr9jDgqTbaaQ,60
uI_JANZUD9Wr9jDgqTbaaQ,410
d3Wz6ENnjMHtRUXfg8idaw,22
d3Wz6ENnjMHtRUXfg8idaw,137
d3Wz6ENnjMHtRUXfg8idaw,61
d3Wz6ENnjMHtRUXfg8idaw,60
dC2QzUEgzzIOhBSR90QKcg,30
dC2QzUEgzzIOhBSR90QKcg,394
dC2QzUEgzzIOhBSR90QKcg,93
dC2QzUEgzzIOhBSR90QKcg,559
dC2QzUEgzzIOhBSR90QKcg,740
--9e1ONYQuAa-CB_Rrw7Tw,398
--9e1ONYQuAa-CB_Rrw7Tw,276
--9e1ONYQuAa-CB_Rrw7Tw,13
0qOA8z_BHgzaPr1ypOy8rw,37
0qOA8z_BHgzaPr1ypOy8rw,97
cCM2b60BomgMixIJVpXaLg,79
cCM2b60BomgMixIJVpXaLg,13
u5U7iPk2D6SPprqlT7yTGQ,13
u5U7iPk2D6SPprqlT7yTGQ,50
FGhsNpkrBzFy-2zrObiYCg,656
FGhsNpkrBzFy-2zrObiYCg,388
FGhsNpkrBzFy-2zrObiYCg,602
FGhsNpkrBzFy-2zrObiYCg,54
FGhsNpkrBzFy-2zrObiYCg,586
FGhsNpkrBzFy-2zrObiYCg,37
FGhsNpkrBzFy-2zrObiYCg,559
FGhsNpkrBzFy-2zrObiYCg,47
FGhsNpkrBzFy-2zrObiYCg,43
FGhsNpkrBzFy-2zrObiYCg,93
FGhsNpkrBzFy-2zrObiYCg,784
FGhsNpkrBzFy-2zrObiYCg,242
FGhsNpkrBzFy-2zrObiYCg,30
Wvj7_MtfViFRXrljkzYXIw,17
Wvj7_MtfViFRXrljkzYXIw,191
Wvj7_MtfViFRXrljkzYXIw,18
Wvj7_MtfViFRXrljkzYXIw,158
Wvj7_MtfViFRXrljkzYXIw,13
Wvj7_MtfViFRXrljkzYXIw,73
YgTc6ku9nwu8L9b0-FCXFA,82
YgTc6ku9nwu8L9b0-FCXFA,17
YgTc6ku9nwu8L9b0-FCXFA,24
q9Q2Gjf9m8YM2qqIBp3gLw,37
q9Q2Gjf9m8YM2qqIBp3gLw,47
q9Q2Gjf9m8YM2qqIBp3gLw,970
q9Q2Gjf9m8YM2qqIBp3gLw,22
q9Q2Gjf9m8YM2qqIBp3gLw,455
q9Q2Gjf9m8YM2qqIBp3gLw,971
q9Q2Gjf9m8YM2qqIBp3gLw,94
q9Q2Gjf9m8YM2qqIBp3gLw,381
q9Q2Gjf9m8YM2qqIBp3gLw,272
wxls4QWr0ndHn2UJxU-_fQ,37
wxls4QWr0ndHn2UJxU-_fQ,388
hqyK-q2Xa5-h3-_lSD3oxw,6
hqyK-q2Xa5-h3-_lSD3oxw,231
yFYkNgneB9y6QInhm_YJMw,75
yFYkNgneB9y6QInhm_YJMw,354
yFYkNgneB9y6QInhm_YJMw,37
yFYkNgneB9y6QInhm_YJMw,146
yFYkNgneB9y6QInhm_YJMw,206
nAFwDGNVauzbzH6QCudEBA,77
nAFwDGNVauzbzH6QCudEBA,353
bukZAbCoHgCi-IN91r04bQ,567
bukZAbCoHgCi-IN91r04bQ,568
bukZAbCoHgCi-IN91r04bQ,90
hF6tlIq3BLy_LHeCVJ1spQ,210
hF6tlIq3BLy_LHeCVJ1spQ,60
hF6tlIq3BLy_LHeCVJ1spQ,209
eNEgDEtad9xtErB1rCFr4A,43
eNEgDEtad9xtErB1rCFr4A,47
eNEgDEtad9xtErB1rCFr4A,274
eNEgDEtad9xtErB1rCFr4A,369
eNEgDEtad9xtErB1rCFr4A,370
kuvihcFik55BYDVgJ6hAEA,8
kuvihcFik55BYDVgJ6hAEA,503
kuvihcFik55BYDVgJ6hAEA,13
kuvihcFik55BYDVgJ6hAEA,9
3NmjKQJmPH7hcM0pp12DJQ,80
3NmjKQJmPH7hcM0pp12DJQ,13
f1PawYN3ZnuLDE3mV9xBVQ,182
f1PawYN3ZnuLDE3mV9xBVQ,60
f1PawYN3ZnuLDE3mV9xBVQ,61
f1PawYN3ZnuLDE3mV9xBVQ,169
WS0WI4-MV_Kcg-vcWuZGQQ,13
WS0WI4-MV_Kcg-vcWuZGQQ,73
WS0WI4-MV_Kcg-vcWuZGQQ,53
WS0WI4-MV_Kcg-vcWuZGQQ,10
gJZevmkVSH9a1680pnNm7Q,387
gJZevmkVSH9a1680pnNm7Q,201
gJZevmkVSH9a1680pnNm7Q,37
gJZevmkVSH9a1680pnNm7Q,64
gVrOjfdnijDwxivLTHiBAg,8
gVrOjfdnijDwxivLTHiBAg,13
gVrOjfdnijDwxivLTHiBAg,11
gVrOjfdnijDwxivLTHiBAg,12
gVrOjfdnijDwxivLTHiBAg,139
gVrOjfdnijDwxivLTHiBAg,48
gVrOjfdnijDwxivLTHiBAg,276
gVrOjfdnijDwxivLTHiBAg,9
BSts3pm0UWeSHhxHzkpy9A,18
BSts3pm0UWeSHhxHzkpy9A,35
bPDfUbhr5Jab_fPTNTn9oQ,730
bPDfUbhr5Jab_fPTNTn9oQ,20
bPDfUbhr5Jab_fPTNTn9oQ,17
bPDfUbhr5Jab_fPTNTn9oQ,87
bPDfUbhr5Jab_fPTNTn9oQ,205
bPDfUbhr5Jab_fPTNTn9oQ,13
bPDfUbhr5Jab_fPTNTn9oQ,130
AGWBs_-KV67zAyBPwz_n-g,13
AGWBs_-KV67zAyBPwz_n-g,79
3zFnqC84MxH7CR0u6uUoHg,338
3zFnqC84MxH7CR0u6uUoHg,997
3zFnqC84MxH7CR0u6uUoHg,127
yZHNVZBiaCHvJXGGBDSeDQ,704
yZHNVZBiaCHvJXGGBDSeDQ,37
yZHNVZBiaCHvJXGGBDSeDQ,303
yZHNVZBiaCHvJXGGBDSeDQ,54
yZHNVZBiaCHvJXGGBDSeDQ,293
pNaEm3X3DbakMgZUA2bGfQ,623
pNaEm3X3DbakMgZUA2bGfQ,47
zi9FBsY8sBpAKffo2ivSKQ,35
zi9FBsY8sBpAKffo2ivSKQ,899
zi9FBsY8sBpAKffo2ivSKQ,18
4ZCDP9ZqAlz6PHY-GMmhsQ,37
4ZCDP9ZqAlz6PHY-GMmhsQ,388
4ZCDP9ZqAlz6PHY-GMmhsQ,187
4ZCDP9ZqAlz6PHY-GMmhsQ,96
4ZCDP9ZqAlz6PHY-GMmhsQ,97
gGt00WW8sNY2Sop7jYa7Tw,140
gGt00WW8sNY2Sop7jYa7Tw,108
gGt00WW8sNY2Sop7jYa7Tw,17
gGt00WW8sNY2Sop7jYa7Tw,68
gGt00WW8sNY2Sop7jYa7Tw,13
gGt00WW8sNY2Sop7jYa7Tw,8
gGt00WW8sNY2Sop7jYa7Tw,106
gGt00WW8sNY2Sop7jYa7Tw,185
gGt00WW8sNY2Sop7jYa7Tw,9
gGt00WW8sNY2Sop7jYa7Tw,50
1CJjFqnEwnQ0sE7ji8nz7w,60
1CJjFqnEwnQ0sE7ji8nz7w,182
g_coOkjx68R08U1HIurwjQ,290
g_coOkjx68R08U1HIurwjQ,111
g_coOkjx68R08U1HIurwjQ,75
g_coOkjx68R08U1HIurwjQ,37
g_coOkjx68R08U1HIurwjQ,146
g_coOkjx68R08U1HIurwjQ,206
c1XRPrHsrBs7qP_A36ybzg,876
c1XRPrHsrBs7qP_A36ybzg,179
c1XRPrHsrBs7qP_A36ybzg,78
c1XRPrHsrBs7qP_A36ybzg,624
c1XRPrHsrBs7qP_A36ybzg,216
c1XRPrHsrBs7qP_A36ybzg,77
c1XRPrHsrBs7qP_A36ybzg,217
ycH2xauZBb7yqdp0d_T5Gw,183
ycH2xauZBb7yqdp0d_T5Gw,47
h1xcdc6sPss8vkt8HFJEXA,571
h1xcdc6sPss8vkt8HFJEXA,13
PyaVPA_z2fMcfRKaP212lw,498
PyaVPA_z2fMcfRKaP212lw,18
PyaVPA_z2fMcfRKaP212lw,35
PyaVPA_z2fMcfRKaP212lw,358
Zut6vm6AZ-xmag12jywQyw,361
Zut6vm6AZ-xmag12jywQyw,13
yca_LhJ6952AlPwGvEWYFQ,124
yca_LhJ6952AlPwGvEWYFQ,13
yca_LhJ6952AlPwGvEWYFQ,80
xJvuz0J3rPdILToxLWhtIg,13
xJvuz0J3rPdILToxLWhtIg,160
xJvuz0J3rPdILToxLWhtIg,17
xJvuz0J3rPdILToxLWhtIg,24
xJvuz0J3rPdILToxLWhtIg,295
xJvuz0J3rPdILToxLWhtIg,310
IUr3Z5XGe0wJ9WL9NC9j2Q,743
IUr3Z5XGe0wJ9WL9NC9j2Q,560
IUr3Z5XGe0wJ9WL9NC9j2Q,9
IUr3Z5XGe0wJ9WL9NC9j2Q,13
IUr3Z5XGe0wJ9WL9NC9j2Q,8
IUr3Z5XGe0wJ9WL9NC9j2Q,378
IUr3Z5XGe0wJ9WL9NC9j2Q,57
PtK0szSCOciZ0RuImcxiGQ,303
PtK0szSCOciZ0RuImcxiGQ,37
PtK0szSCOciZ0RuImcxiGQ,111
PtK0szSCOciZ0RuImcxiGQ,290
mOECD2v-ukPQ4rWqOwjTUQ,111
mOECD2v-ukPQ4rWqOwjTUQ,109
mOECD2v-ukPQ4rWqOwjTUQ,37
izpUFeg-4PMpdc7XGWPEQg,60
izpUFeg-4PMpdc7XGWPEQg,37
izpUFeg-4PMpdc7XGWPEQg,75
izpUFeg-4PMpdc7XGWPEQg,411
izpUFeg-4PMpdc7XGWPEQg,134
izpUFeg-4PMpdc7XGWPEQg,211
5pgJxcGHN5AhcsKIovdDNA,104
5pgJxcGHN5AhcsKIovdDNA,6
5pgJxcGHN5AhcsKIovdDNA,103
