post_id,comment,created_at,author_id
CrOYBZyE0W2nCezv12Cpdw,Just a great place to workout at.,2016-12-02,oxfkNgbFECXjzGocTpj95A,
DG7blxT5FHAlQGG8A92ZXQ,Great job on the carpet repair.,2017-12-09,VVf33YIKnXB3hzgBCtLZ4A,
vxuyl9IVum8zngXgvbT4Jg,Yummy!,2012-06-16,VVf33YIKnXB3hzgBCtLZ4A,
yk8hg2Q6_m5Rviqq_eAaGA,Awesome!,2012-03-24,iqRuThnoV4Ufd9tLnkx7GQ,
TqM_HTJYJOGe1MwpbYH1fw,The meatball sub is good, but dry. You may want to ask for a side of marinara.,2012-11-17,iqRuThnoV4Ufd9tLnkx7GQ,
jCYUEaj062PQualKsGXysA,This place is now closed.,2013-07-22,iqRuThnoV4Ufd9tLnkx7GQ,
0QCM5Borzm9q_MTckCtxPw,Rude staff. I wouldn't do any of my business here,2015-01-08,UddyB3N-m1T2rnq8J0qzGA,
nLU-Dhs6ATughOfmBArpGw,Slow stupid service for fast food,2016-08-16,UddyB3N-m1T2rnq8J0qzGA,
L8qHCpeeF2_5RN_5RJQyYg,WORST SERVICE I've ever seen and horrible attitudes!!!!!!!!,2011-02-25,WmAUMvqr167OasgGsonaiQ,
L8qHCpeeF2_5RN_5RJQyYg,Crowded between 5:45-7p even on weekdays. Great daily specials menu with variety of drinks and food choices.,2011-11-21,Oui5Q1hAlNuLcCOyBYZzXA,
L8qHCpeeF2_5RN_5RJQyYg,Not on the menu but teriyaki suicide wings are the perfect blend of sweet and heat with a little Asian flair thrown in,2012-09-14,Ia39-H4YyOgxyR86xFlhNg,
s_7ALFRcm-tOYM0oH9kaWw,Tri tip and some bones for the dogs!,2012-04-27,Ia39-H4YyOgxyR86xFlhNg,
nsNONDHbV7Vudqh21uicqw,Nothing else like it,2012-12-07,Ia39-H4YyOgxyR86xFlhNg,
U6P56MjLrraN0JBNvOjxaA,5 Guys ain't got nothin on this place,2012-04-26,Ia39-H4YyOgxyR86xFlhNg,
LhBP1BxWBM3aLLRR4zgQlw,Thin crust, red pepper pesto instead of marinara, portobellos, fresh basil and sun dried tomatoes,2012-05-24,Ia39-H4YyOgxyR86xFlhNg,
C-nHG0oGgOuIyrqDZ8T1qg,This place is heaven,2012-03-09,Ia39-H4YyOgxyR86xFlhNg,
k3usuzYs_UVBkSgUbmthdQ,They do a proper gyro and the seasoning on the fries is really tasty.,2012-03-20,Ia39-H4YyOgxyR86xFlhNg,
VRTF9PAHgczBeOfuiUkBRw,It helps to know the chef!,2012-02-16,Ia39-H4YyOgxyR86xFlhNg,
wZukjLaf1V2dLRQap_Zriw,Woo Hoo they're finally here!,2012-03-29,Ia39-H4YyOgxyR86xFlhNg,
wZukjLaf1V2dLRQap_Zriw,Pub board and bruschetta,2012-04-30,Ia39-H4YyOgxyR86xFlhNg,
22LyWivLY_y_b3ohASfP2Q,Great place to get a handie in the parking lot,2012-06-11,Ia39-H4YyOgxyR86xFlhNg,
L8qHCpeeF2_5RN_5RJQyYg,When did a Cesar get made with iceberg??,2012-10-02,2W-ghGmF6huBV3bz3JBURQ,
0CAzhX1w9qGD8iz4F8XZjQ,Good food.  Terrible service,2013-03-17,2W-ghGmF6huBV3bz3JBURQ,
XMhUSc1d_XySrtdiF5lpqQ,Overall they do a good job,2012-10-23,2W-ghGmF6huBV3bz3JBURQ,
TThMGJrIlO2DTnajFGDlww,Great food.  Poor service,2013-03-18,2W-ghGmF6huBV3bz3JBURQ,
TThMGJrIlO2DTnajFGDlww,Yum,2013-03-18,2W-ghGmF6huBV3bz3JBURQ,
L8qHCpeeF2_5RN_5RJQyYg,Service was slow and food took forever then came out cold. They Ran out of fries and then didn't get the other side order hat was supposed to replace the fries. I usually love his place must have just been an off night. Waitress said something about a bunch of coupons and groupon people came in,2013-02-28,FxPwfyqdumiL_ZYH_rb66Q,
YPavuOh2XsnRbLfl0DH2lQ,Front door greeters at the hostess stand were rude and obnoxious, could use some customer service training on friendly inviting service.,2014-08-20,FxPwfyqdumiL_ZYH_rb66Q,
