post_id,comment,created_at,author_id
Rj-7ymdw8aNZBRqGRAjR3Q,A big surprise how good the food was that we got served!,2015-05-25,zUri_qg_4eSLCZLTcEslKA,
Rj-7ymdw8aNZBRqGRAjR3Q,Gr,2015-06-05,OwOG979iVIZUJ-p4K3h5fw,
Rj-7ymdw8aNZBRqGRAjR3Q,Great chips and salsa,2015-06-22,tMtVTw7OwJXFDOJCydEQ1A,
Rj-7ymdw8aNZBRqGRAjR3Q,Great chips and salsa.  They're just a little too thick and greasy,2015-10-07,tMtVTw7OwJXFDOJCydEQ1A,
Rj-7ymdw8aNZBRqGRAjR3Q,Best fajitas I've ever had. Find myself craving them constantly.,2015-09-08,E_jEA4iH-Nd5MPL-NL2KXw,
Rj-7ymdw8aNZBRqGRAjR3Q,The atmosphere, the service, and the food was great! Best chips and salsa.,2015-10-20,fJjHspT7YW2P1Z9jYNsuOw,
Rj-7ymdw8aNZBRqGRAjR3Q,Pretty good. Ok service. :\/,2016-02-11,CzzvIWPUuCZ7L1t9Ncobmg,
Rj-7ymdw8aNZBRqGRAjR3Q,Great margaritas. Fabulous food and a beautiful atmosphere!,2016-03-03,QksVeP0M-pv_tS2A46PDmQ,
Rj-7ymdw8aNZBRqGRAjR3Q,A must try in Vegas. Awesome Mexican food.,2016-03-05,1oMj4g12hJlDz4gzOBFt3Q,
Rj-7ymdw8aNZBRqGRAjR3Q,Good service, good fajitas, best margaritas in town with a great view of the strip.,2016-05-28,tAGaKhGHh_zH9kkdNq1yMQ,
C9ImzBi5fn742ZcAYDww2A,Always great breakfast and great service.,2016-10-29,tAGaKhGHh_zH9kkdNq1yMQ,
Rj-7ymdw8aNZBRqGRAjR3Q,We attended the Cooking Fiesta.... Amazing food and a fun experience!!! Loved it! Chef Saul was amazing! We had great service and the best fajitas ever! Such a fun cooking experience.,2016-07-30,-S2rg1vEtMq5JdI3wK0IJQ,
Rj-7ymdw8aNZBRqGRAjR3Q,Loved the fajitas. Yum yum and yum!,2016-08-06,09frH8afEs7eEaLYpKPJ7w,
Rj-7ymdw8aNZBRqGRAjR3Q,Definitely a must come back place food was delicious and customer service is great,2016-09-10,hotk_Pfmdhgaud3EpRldrQ,
