post_id,comment,created_at,author_id
RwMLuOkImBIqqYj4SSKSPg,Adobado tacos for life,2014-04-21,EIPxgRDO1KZRFdk3gvgaKA
Ms_el67lrNsKBmdEXVxl6Q,This place is awesome, wonderful service. The waiterwas sweet and funny. The pork fried rice was divine. The general tso chicken  was amazing. I loved my orange chicken and the fried ice cream was yummy!,2013-07-14,9j2EDEvHL6m6vzITBUlvvA
cYwJA2A6I12KNkm2rtXd5g,Order anything :),2014-05-01,jEP4ytcm8uJh9W0d1g4QUA
UT6L3b7Zll_nvRidijiDSA,Make sure your wallet is full:),2014-04-27,jEP4ytcm8uJh9W0d1g4QUA
qABb9Wzdn51VcNHdp_Qhpg,Best gelato hands down. Real deal.,2014-04-27,jEP4ytcm8uJh9W0d1g4QUA
K2_zfa7cKbg5klHJYqoWnw,Just know that the extra spicy will burn your lips. They take spicy seriously.  Yum.,2014-01-24,d9ZB3qUEYnuFX1hFJISJlQ
n-Lal8qXk7MDo1JRTxBYyw,Great knowledgeable service, great quality products, and amazing results!!,2015-03-25,fqaOHusQeB6JtloNEpP2VQ
9CW-rlhVXRSWj2iOnBIONw,Go with a group of at least 3 or more,2014-06-16,fqaOHusQeB6JtloNEpP2VQ
OETh78qcgDltvHULowwhJg,You'll want to LOL when they tell you the story behind these lightings because it's that random.,2014-08-30,w9MpIZYDj5Nc2fKffM11gQ
b7cZMaV6GYVSl0uKbKGyqg,Delicious...way better than a subway!,2014-09-22,fqc3SbXxag7bVe6D0vV2vA
XvOzizKafffkMuk-tIdNcQ,Alien place... it is a cute place but food is just okay. Huge portions though!,2017-06-25,NcUPsHsnF7HBbVjjmoYElw
DG7blxT5FHAlQGG8A92ZXQ,Great service, very professional.,2016-07-19,FxR3DjzY0paAFhBfFww4dg
fzxvmA3Ygu3yrQQ6-cEpTw,Food and service was great.,2017-02-17,FxR3DjzY0paAFhBfFww4dg
miUYb0E10sNtXe-qXiYjbw,I've that place!,2017-07-17,gwF5wcBf0Go13j5oavxyqA
im2J4GZZdEl7s4o21D7rgw,So delicious! nice fresh veggies on delicious baguette. Lucy is adorable too.,2015-08-30,e0YfZXtVguPwOVkak1Femg
im2J4GZZdEl7s4o21D7rgw,Lucy is the best!,2016-05-07,r_EmGIZPdchhaaTDauFu4w
OfErL1qfNmgTF4375veOPA,ngela Pezzulo,2014-09-01,Fms6yR7vFbhMtUJNuBELFw
HWgz2YN0VKQzJ1Mlh1DjMA,Susan flipping the bird sandwich, top notch!!,2012-04-14,7CUutFsnlX-_iT3YsYg0Hw
HWgz2YN0VKQzJ1Mlh1DjMA,Never seems to be busy after 8pm. Awesome restaurant. Order extra pickles. So legit.,2013-08-25,Iup3iZ2_qDJCi6wI70Gb-Q
zCmwErM82hdKl4L2UixDJw,Food is good. Beer is over priced. Service at bar is slow.,2015-04-13,Iup3iZ2_qDJCi6wI70Gb-Q
HWgz2YN0VKQzJ1Mlh1DjMA,Love me some Jammy's!   Great burgers from Ohio beef.  Always good service.,2015-10-09,31tiWrGRxNJvlTMKoNxTrQ
HWgz2YN0VKQzJ1Mlh1DjMA,the chicken burger with the mozzarella party is excellent.  as well as the shrimp burger they have right now!,2015-10-09,Qo-MYRxNT2GBJdR0zI6nDA
