post_id,comment,created_at,author_id
xTOX8D1Tavoi9vPWL-nWdQ,Chris the bartender is AMAzING!!!!,2013-05-16,72jwwqkbKvNc17wZIh4xqQ
MiUrif_vYOuITF4ALf7WHA,Great food,2013-05-17,72jwwqkbKvNc17wZIh4xqQ
VyjyHoBg3KC5BSFRlD0ZPQ,It's a biggg circle!!!,2013-06-02,xjwDz-APpDdpHE4Nrspx-A
KTjfQxsQDKWP0dWXBCyXuA,Don't get the nachos. It gets really soggy,2011-04-23,xjwDz-APpDdpHE4Nrspx-A
EN2foh9hQMXvNMtB3pMwmA,Inside food court of greenlandMarket,2014-02-15,xjwDz-APpDdpHE4Nrspx-A
VyjyHoBg3KC5BSFRlD0ZPQ,Get to the pool early, the good chairs fill up fast,2013-06-14,KAjEEdZ5uW1ySXW6mJ-ckw
VyjyHoBg3KC5BSFRlD0ZPQ,We received a free upgrade to a much nicer room although the view wasn't as nice. The room itself was very clean, fully stocked mini-bar, lounge chair and a nice big screen TV. The showe had 2 waterfall shower heads and a private door for the toilet. Amazing place.,2013-07-12,k4qFfyWsHK4HXvpkhbwbfg
VyjyHoBg3KC5BSFRlD0ZPQ,tay somewhere else next trip!,2013-08-12,vJ_Neh57N8Q9mEs_NIADUA
VyjyHoBg3KC5BSFRlD0ZPQ,The new buffet here is just awesome,2013-08-20,Zy46eqpqgb3ciCG2RvPk9Q
VyjyHoBg3KC5BSFRlD0ZPQ,I loved my vacation here with hubby and family. Me as hubby stayed in the newer Augustus Tower with Jacuzzi, and full amenities! Definitely upgrade.,2013-09-13,ghGiL52X6udHMxWgvKjRig
VyjyHoBg3KC5BSFRlD0ZPQ,Nothing like Caesars Palace,2013-09-15,kWsdYoU1KHwqqcP-slHVBQ
fAo-3jt3oD69nwnr5M6FLQ,Chinese food at the Wynn,2013-09-15,kWsdYoU1KHwqqcP-slHVBQ
MqYYYNA-ZYvV-1w5qcmMoA,Delicious steaks,2013-09-15,kWsdYoU1KHwqqcP-slHVBQ
64QldpwnBOWbv25w2wngmg,Having a quick breakfast at the Lobby Bar,2013-09-16,kWsdYoU1KHwqqcP-slHVBQ
wBJyTzjlDCjF9fM9o_izWQ,Awesome decor and pampering .... Pricey but so worth it,2013-09-15,kWsdYoU1KHwqqcP-slHVBQ
