post_id,comment,created_at,author_id
UM3tXZP60ybIj3Vh1GKLWQ,Final de l'Euro 2012 sur la terasse :)))) malheureusement y a plus de place,2012-07-01,uM43N9FOplHdUHkzy__bew,
Nr9OfcwHu4FQjrQ6kYF-Xg,fantasia 2013,2013-07-18,uM43N9FOplHdUHkzy__bew,
Tlc317wt-t9OOOqBK4qxEA,Nice new decoration \/ Nouveau décor :),2011-10-25,uM43N9FOplHdUHkzy__bew,
PCZyP7v8YQ9-Cqbi8v0peA,Température 5 degré ...Line-up par ce qu'il y 50% de rabais aujourd'hui !!! Ça c'est Montréal ;*),2014-11-02,uM43N9FOplHdUHkzy__bew,
MwadhcDI9sRxt2eyLRBJOQ,Mega Deal all year long,2011-12-07,uM43N9FOplHdUHkzy__bew,
52-omTjba8j2Zo6Eg6_jgw,45 minutes d'attente le dimanche après-midi,2013-11-03,uM43N9FOplHdUHkzy__bew,
N52YfkFdHjZpdUV_-nkJbw,Mish mash omelette de plaisir et des milliers de calories garantie,2012-05-23,uM43N9FOplHdUHkzy__bew,
ODqL6ocC_bMqTDDbOJLzFg,Huum les baklavas:-),2013-12-04,uM43N9FOplHdUHkzy__bew,
4aKSBiaC43EwDr7gPg1CKA,Besoin de manger pour prendre un verre d'alcool,2012-07-14,uM43N9FOplHdUHkzy__bew,
-aideO5JwBz_27cuBvEGRw,4 "" drink"" de 6,49$ à 7,29 + taxe ....  ma fois très bien avec 1,5 oz d'alcool :))) J'aime !!!!!,2012-04-13,uM43N9FOplHdUHkzy__bew,
RWUKT_N6PTyWEsiWQ5VBXg,Bière Rolling Rock, sur la terasse au bord de l'eau !!! Dificile a battre :))),2013-04-28,uM43N9FOplHdUHkzy__bew,
RWUKT_N6PTyWEsiWQ5VBXg,Fermer Le dimanche \/ closed Sunday,2013-02-17,uM43N9FOplHdUHkzy__bew,
NNR0daIlKHTp2yU3F4H36A,In the 401 Richmond complex. Jazz\/Classic + relaxing + work space + good service (sandwich, soup, salad...) wifi by Wirelesstotonto.ca,2010-08-30,uM43N9FOplHdUHkzy__bew,
xG2DxjHdoUf3frxogIeTAg,Climbing shoes on clearance good $ but limited sizing 41 or less,2010-08-31,uM43N9FOplHdUHkzy__bew,
0LxAyxAnnCXq3KdLlq-APg,Now open until 10 pm \/ Veggies sausage & bacon, juice bar , pancake ***** fair trade + organic + vegan,2010-08-30,uM43N9FOplHdUHkzy__bew,
kw8Lh8bJAtquHkT9CB4zGg,Patio close at 11pm on weekdays,2010-08-30,uM43N9FOplHdUHkzy__bew,
_BnBjRMt5Ba-TAv07r3fyw,10$ après 10pm et Martini 6$ les mercredi !!! Imbatable sur Crescent :)),2012-08-01,uM43N9FOplHdUHkzy__bew,
wJK311GrpDS9KSaPdz27hQ,Great place for afternoon nap! :) Pool in the community center,2010-08-30,uM43N9FOplHdUHkzy__bew,
SGpCV9O5teB-we8XNNlGHQ,Full! go ""Club Social"" good backup : 180 St-Viateur ouest, corner esplanade street !,2010-10-23,uM43N9FOplHdUHkzy__bew,
SXTEcNRfzOFwwI0nN4vsCw,Abordable pour le Vieux Montreal et c'est très bon!!!,2015-01-25,uM43N9FOplHdUHkzy__bew,
Q6cP6Xd6OOAn9_P4ma2grQ,Latte & Pasterie,2010-08-30,uM43N9FOplHdUHkzy__bew,
s_VpeEfBsG-sGg6Vyq8afQ,Encore et toujours un des meilleurs Pho de Montréal,2013-12-06,uM43N9FOplHdUHkzy__bew,
