post_id,comment,created_at,author_id
u4TVM_6Ya1FBRszxcBROWA,Getting a tune up on my green machine,2011-04-17,2gu5B_JbJlfZLhihSr-apQ
l8k4gOEkfoLKq0mPVWHWGg,Yelp elite event!  I am dottsy's plus 1,2011-08-08,2gu5B_JbJlfZLhihSr-apQ
k1QpHAkzKTrFYfk6u--VgQ,Woman who rock in business' first dinner,2011-06-28,2gu5B_JbJlfZLhihSr-apQ
y45zdBlXT0Mr0gEfYOzXlw,The snack bar sucks and I swear the air conditioning is not on,2011-06-07,2gu5B_JbJlfZLhihSr-apQ
-ayZoW_iNDsunYXX_0x1YQ,This place is amazing!,2013-07-13,2gu5B_JbJlfZLhihSr-apQ
E6Ne9ok_tHvZIeOdWeh40w,Save the boobs!,2011-05-07,2gu5B_JbJlfZLhihSr-apQ
J07TDs6qnTIaxm48EL1cKQ,Women Who Rock dinner with the mamas!,2012-03-05,2gu5B_JbJlfZLhihSr-apQ
o9ncq8xQo_hd427lMsQQZw,Olives, picked beets and goat cheese,2011-12-14,2gu5B_JbJlfZLhihSr-apQ
Pbh0WNaKvkyI7HYwQMEWpA,3rd time is hopefully the charm!  The owner is working with me directly, I feel so special!,2012-01-21,2gu5B_JbJlfZLhihSr-apQ
iJi7yebXoPVXRyGqqL-v8g,Pickleback... ask for it,2011-04-16,2gu5B_JbJlfZLhihSr-apQ
KfuNW67ZM3jegHT4txnHbg,Hot soup and hot tea to help me feel better,2011-04-29,2gu5B_JbJlfZLhihSr-apQ
KfuNW67ZM3jegHT4txnHbg,I can be spontaneous on work nights, but only after 8...,2011-05-04,2gu5B_JbJlfZLhihSr-apQ
KfuNW67ZM3jegHT4txnHbg,Best thai in scottsdale,2011-05-26,2gu5B_JbJlfZLhihSr-apQ
KfuNW67ZM3jegHT4txnHbg,My favorite thai place,2011-06-15,2gu5B_JbJlfZLhihSr-apQ
KfuNW67ZM3jegHT4txnHbg,Out of business!  What!?!,2011-11-04,2gu5B_JbJlfZLhihSr-apQ
8M-fofsvdyflfUSooIK3vg,Stocking up!,2012-03-21,2gu5B_JbJlfZLhihSr-apQ
8M-fofsvdyflfUSooIK3vg,They have new spring flavors!  For a limited time only....,2012-04-16,2gu5B_JbJlfZLhihSr-apQ
MgHWbwuxxb_txhI3lK_bKg,With beth and curtis!,2011-08-10,2gu5B_JbJlfZLhihSr-apQ
MgHWbwuxxb_txhI3lK_bKg,With Mrs. Beth and Karyn,2011-11-18,2gu5B_JbJlfZLhihSr-apQ
MgHWbwuxxb_txhI3lK_bKg,It is their 2 year anniversary today!,2012-01-18,2gu5B_JbJlfZLhihSr-apQ
cclDCELdBQmJMWUyVWo5fw,With 5 amazing women!,2011-08-03,2gu5B_JbJlfZLhihSr-apQ
cclDCELdBQmJMWUyVWo5fw,Fundraiser going on with amazing items!  Everyone is welcome!,2011-12-13,2gu5B_JbJlfZLhihSr-apQ
poX-2lODvtmkR6pve8FXFA,Butter burger!,2011-10-24,2gu5B_JbJlfZLhihSr-apQ
dimv16yFu0JXR1n1SAqedQ,It has been rad hookas,2011-05-19,2gu5B_JbJlfZLhihSr-apQ
dimv16yFu0JXR1n1SAqedQ,Picking up din din,2011-07-26,2gu5B_JbJlfZLhihSr-apQ
Z_JkVkaUcN4ITVeuG-4Qtw,With the always sexy cindy silva,2011-04-28,2gu5B_JbJlfZLhihSr-apQ
YauBkH-HEx148jC0pv4Hcg,Garlic plate!  I don't care if I stink later,2012-02-03,2gu5B_JbJlfZLhihSr-apQ
YauBkH-HEx148jC0pv4Hcg,Garlic plate numero dos!,2012-02-06,2gu5B_JbJlfZLhihSr-apQ
FirWX-Ep5203TsdiGgShKg,Celebrating frank and tiffanys nuptials!,2011-06-04,2gu5B_JbJlfZLhihSr-apQ
HCMpq0hqoUsAeAIz43Lv4g,I can fly!!!!! Or try to at least...,2011-06-26,2gu5B_JbJlfZLhihSr-apQ
HGhXbgeMEcg1cIZwxyNDeg,Marissa's birthday!,2012-06-30,2gu5B_JbJlfZLhihSr-apQ
1M7E6fh47lwQ1roc8kVv9g,Not sure how I feel about being asked to pay before my meal came since I am paying cash and sitting at the bar.  Also forgot my lime and olive for my Bloody Mary,2013-01-19,2gu5B_JbJlfZLhihSr-apQ
9Cq_NVvWZOEAzmE7tqJgmg,Corn pups!,2011-12-14,2gu5B_JbJlfZLhihSr-apQ
jJDnxINrCKstFyeH3F8Cfw,Vroom! Vroom!  Getting ready to test drive....,2011-10-24,2gu5B_JbJlfZLhihSr-apQ
0Buxoc0cRqjpvkezo3bqog,Celebrating Jayme's birthday!,2011-06-22,2gu5B_JbJlfZLhihSr-apQ
cz5vz-893D3LNH3TMQYR1w,After party!,2012-02-26,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Cute clothing and accessories,2011-04-07,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Bought some cool ass red framed glasses,2011-04-29,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Store wide sale!,2011-05-18,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Getting my tan on and bought a cute clutch!,2012-06-07,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Getting my spray tan!  Every time I come here, which is once a week, there are new items to buy, love it!,2012-06-21,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Tanning time!,2012-06-28,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Shopping today since I couldn't at the grand opening last night,2012-06-30,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Shopping!,2012-07-21,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Got my tan yesterday, getting a gift for a friend and some cloths for my trip today!  I love this store!,2012-08-03,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Finally home and my first stop is here!!  Buying a belated gift for my sister....,2012-08-19,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,Getting my tan on!!,2012-08-23,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,20% discount today!  Yea!!,2012-10-14,2gu5B_JbJlfZLhihSr-apQ
TBGLPMfGz9SiNyZ1HabbMg,New stuff in the store!,2012-10-18,2gu5B_JbJlfZLhihSr-apQ
