post_id,comment,created_at,author_id
jsuUmIEefPjV__ads62Z5w,Neat atmosphere...we'll see how the food is because the menu looks amazing!,2011-08-04,3wvXrRRinoFmSgrRrTSQow,
ZCe93zAkxr2KOBU1NT0lmg,If the wait for the dining room is more than 15 minutes, head to the bar! Usually there's an empty high top table for a couple of people!,2012-03-03,3wvXrRRinoFmSgrRrTSQow,
ZCe93zAkxr2KOBU1NT0lmg,Hooray cheese crisp extravaganza!,2012-08-22,3wvXrRRinoFmSgrRrTSQow,
_4Gpn_NIM94D9OFucgfaJQ,Deg not shy with the booze... Awesome vodka tonic!,2012-02-14,3wvXrRRinoFmSgrRrTSQow,
dD6JQo5tCNtOtauaLaT0sg,Italian quesadillas.....AMAZING!,2011-09-10,3wvXrRRinoFmSgrRrTSQow,
dD6JQo5tCNtOtauaLaT0sg,Hefewizen is pretty good...the Italian quesadilla is AWESOME! #yum #husbandandwife,2013-06-06,3wvXrRRinoFmSgrRrTSQow,
YJ_nOxPvADRDVRpNi3WSCw,Fried egg on a burger? Don't mind if I do! :),2012-06-16,3wvXrRRinoFmSgrRrTSQow,
z6-reuC5BYf_Rth9gMBfgQ,Salmon salad is awesome!,2011-11-26,3wvXrRRinoFmSgrRrTSQow,
fOnpoMXToa5Qiyg95E6ENg,Finally made the cut after 3 weeks of trying to get breakfast here! Ohhh The Place, how I love thee! :),2011-09-11,3wvXrRRinoFmSgrRrTSQow,
WScGH9XsG8-XF_HLqviAgw,Happy Graduation Jenny! :),2012-05-06,3wvXrRRinoFmSgrRrTSQow,
TubbskG3TSU9TpgFFH2How,I love the Portobello Picnic sandwich. Tons OF ROASTED VEGGIES, YEAH! :),2012-01-15,3wvXrRRinoFmSgrRrTSQow,
TubbskG3TSU9TpgFFH2How,Mmmmm...portobello picnic.....  :),2012-03-25,3wvXrRRinoFmSgrRrTSQow,
rnBffgr3QiXUpKef2YFScg,In the words of Rachael Ray, ""Yum-o!,2011-08-20,3wvXrRRinoFmSgrRrTSQow,
YyAtR1t_xkFWybUrX95sgw,Comedy here tonight...we'll see how this goes....,2011-12-09,3wvXrRRinoFmSgrRrTSQow,
1M7E6fh47lwQ1roc8kVv9g,Karaoke every night! 8-2!,2011-09-03,3wvXrRRinoFmSgrRrTSQow,
7aiUhWAorakcx2l0F_1eRA,I heart Joey's Italian Sub!,2011-09-29,3wvXrRRinoFmSgrRrTSQow,
cz5vz-893D3LNH3TMQYR1w,Opening day AND First Friday! Woot!,2012-04-06,3wvXrRRinoFmSgrRrTSQow,
k1c_bC3DK6mKg797vH1T8w,So far, best charcuterie board ever!,2012-02-03,3wvXrRRinoFmSgrRrTSQow,
hjDCsuzS_yU60FFffqpt-w,I'm a sucker for Chinese buffet :-P,2012-04-29,3wvXrRRinoFmSgrRrTSQow,
c_ZDTkfDlfzLm0a3osk1ow,Yummmmmmy tomato soup!,2012-08-18,3wvXrRRinoFmSgrRrTSQow,
vKKSF1_1JNnRMaoNPQb5Lw,Great atmosphere, super friendly waitresses, excellent food! Can't wait to go back!,2014-07-13,3wvXrRRinoFmSgrRrTSQow,
BvTU8s3v-qfTtsSKV6Y16A,Fantastic food with an excellent bloody!!!,2012-05-20,Vhdi00I9xtBBY291smbXRg,
m1LOUjVzAAoCS61BTL5i5g,Must try the spicy chicken!!,2012-07-08,kycD78Z75r167eiSG8X6Ww,
pxRy9F0HwN7zJ7J89AwUpQ,The pueblo x skillet has amazing flavor!!,2012-07-08,kycD78Z75r167eiSG8X6Ww,
pxRy9F0HwN7zJ7J89AwUpQ,The country potatoes were highly recommended... but to my disappointment were very bland,2012-07-08,kycD78Z75r167eiSG8X6Ww,
pxRy9F0HwN7zJ7J89AwUpQ,Ask for Vanessa... good service,2012-07-08,kycD78Z75r167eiSG8X6Ww,
Paa8vq2e2Qs0LGDu6V4j7Q,Talk to Michelle Jensen. She is kind hearted and knowledgeable about the property,2012-07-09,kycD78Z75r167eiSG8X6Ww,
U7x4_LAfX9pFfq-l-7MMNw,They look good in the pictures online, but are visually disappointing when you're there,2012-07-09,kycD78Z75r167eiSG8X6Ww,
N8LgKUVRt9LPoc0WT7hQKQ,Ask for Gerri or Maryanne :),2012-07-08,kycD78Z75r167eiSG8X6Ww,
i24ZdNflrcZ97D7UTGKsVg,Go to fry's to shop... come here to gas up,2012-07-29,kycD78Z75r167eiSG8X6Ww,
k1wiRxCEkc9r7homV00gAA,Book a free facial! Its a great way to get tips and enjoy organic on your skin :),2012-06-30,kycD78Z75r167eiSG8X6Ww,
SRYM6FaIF6LuXldcC1PY8w,Get the key lime pie martini!!! Yum!!!,2012-07-16,kycD78Z75r167eiSG8X6Ww,
zrDi4gEaUi64lAMfJU51dw,Do not go when you are super hungry because you will be doing a bit of waiting...,2012-07-10,kycD78Z75r167eiSG8X6Ww,
925GiWzJ_cxQaUT870xW7A,Be careful which wine flights you choose. Some are great while others are just a bad idea.,2012-07-18,kycD78Z75r167eiSG8X6Ww,
pSQFynH1VxkfSmehRXlZWw,The Margarita and Biancoverde pizzas are the best!!,2012-07-06,kycD78Z75r167eiSG8X6Ww,
7IEQBmoEe7ne20rp5Aup-w,Nice and quiet at lunchtime... cheers,2012-08-17,kycD78Z75r167eiSG8X6Ww,
7IEQBmoEe7ne20rp5Aup-w,The bbq sliders w\/waffle fries are fantastic!!,2012-08-17,kycD78Z75r167eiSG8X6Ww,
7IEQBmoEe7ne20rp5Aup-w,Ask for Patrick, he is wonderful,2012-08-17,kycD78Z75r167eiSG8X6Ww,
939j88ceB05Te3D7kQPwSA,If Johnny B. is working, snap a photo to remember what you might not remember after all the shots you take,2012-07-10,kycD78Z75r167eiSG8X6Ww,
7JR42RkKub9bsBSeXfAjew,I love coming here!! The food is always amazing. Anytime I want to show someone a good time eating authentic food like my family makes, this is where I bring people! :) Oh, and if you get the Gai Lan, always get it sautéed w\/the garlic sauce! Delicious and very healthy :),2012-07-06,kycD78Z75r167eiSG8X6Ww,
flE7Sn2JGs0n3SAtaep6Zw,This place will always have a special place in my heart because I met the love of my life here. I enjoy the atmosphere outside. Its a nice place to chill and chat. Even though every now and then the music goes a bit 'soft' and boring.,2012-07-06,kycD78Z75r167eiSG8X6Ww,
pKk7jCFIm96qDdk0laVT2w,If you love wine or want to love wine, ask for Gabriel Garcia (the sommelier), he is fantastic!,2012-07-10,kycD78Z75r167eiSG8X6Ww,
p9v9Sl2g_ibaajWvO0NjkQ,Great happy hour! Up at the bar is where it is at!!! Yay beer!!!,2012-07-16,kycD78Z75r167eiSG8X6Ww,
p9v9Sl2g_ibaajWvO0NjkQ,Try the filet! It is good when prepared mr+!,2012-08-02,kycD78Z75r167eiSG8X6Ww,
UYf2EUbbPG-sL6sUtaIaAg,It is worth it to sign up for their rewards program (for free).,2012-07-10,kycD78Z75r167eiSG8X6Ww,
FAIUM08fHNRbIH0fz8IANQ,Seriously... Make sure you check your bag before you drive away,2012-07-16,kycD78Z75r167eiSG8X6Ww,
h3pRrJ5tKgr5aAVonQSCGw,I love their clothes! Ask for Kenzie she is awesome!!!,2012-06-30,kycD78Z75r167eiSG8X6Ww,
_BwcSuAj69CkjfXHPl8CAA,These ladies are always so helpful, so please be kind and be patient :),2012-08-31,kycD78Z75r167eiSG8X6Ww,
_BwcSuAj69CkjfXHPl8CAA,Love the ladies here... so helpful :),2012-07-06,kycD78Z75r167eiSG8X6Ww,
b3RzoJRUnQyJGcMNtXK5rA,Freshly sliced and wrapped fruit here never disappoints,2012-07-09,kycD78Z75r167eiSG8X6Ww,
vAbRNF0hJt91oCUpm_sdKw,Service here is less than sub par... food is decent but over priced,2012-07-10,kycD78Z75r167eiSG8X6Ww,
qFo9G2zdvLbgH8whxty36g,If you have to wait... Just get some cold sake at the bar. Their house sake is not bad for the price!,2012-07-16,kycD78Z75r167eiSG8X6Ww,
qFo9G2zdvLbgH8whxty36g,Reservations do not really help as you have to wait for the other group that they intend on seating you with at the teppanyaki tables,2015-07-25,kycD78Z75r167eiSG8X6Ww,
qFo9G2zdvLbgH8whxty36g,Do not expect all your food to be served hot,2015-07-25,kycD78Z75r167eiSG8X6Ww,
