post_id,comment,created_at,author_id
8tMy7yEeNVYylVVFRlPmdQ,Here for a birthday brunch with my twin. Jeremy was our server.  He is awesome! Went out of his way to make it a great time! Food was great as well. Can't beat dollar oysters and the champagne pancakes were amazing.,2017-06-04,TS4ghf7NfqB6FxI-I8mUww,
YC5oId5E2yqP9aGhhy8F3w,Parker was very professional and know what he is doing.,2017-05-27,aGUUsrpKBZ1Y99trn5_5Bw,
YC5oId5E2yqP9aGhhy8F3w,Scott was very professional and he completed his job with out any problems.,2017-06-21,aGUUsrpKBZ1Y99trn5_5Bw,
YC5oId5E2yqP9aGhhy8F3w,Love them! Easy to work with, super friendly. Glad I found them!,2017-06-28,JA_GfICEzovdzUP7Vklgpg,
YC5oId5E2yqP9aGhhy8F3w,Thanks Doug for always doing such a great job keeping the creepy crawlers out!!!,2017-08-23,EQPBZBY42ZY2Zc2lV4ku_g,
YC5oId5E2yqP9aGhhy8F3w,Friendly and professional. Very through and I appreciate that!,2017-11-13,XRb8B7AxPyVDWNJJTOymJQ,
TATCbqRSFNkmC_xNvNmmUA,Came here for dinner. We got the Ramen and some sushi, it was delicious!,2016-04-16,Q_LkHFPdh6wLv_xzL1Ed8g,
TATCbqRSFNkmC_xNvNmmUA,Sherry is the best waitress ever!,2016-05-22,42xjvyoxnxxOWYEIgS-x1g,
TATCbqRSFNkmC_xNvNmmUA,Very nice chef's chirashi don lunch! Fish texture are so good.  Super fresh!,2017-05-19,YKsxuKccY6lwcyY4koGIzg,
8xpSoJ4luTA8RpoyZxVZyQ,Bartender\/Bar Manager is a total douche canoe.,2016-01-29,Dd5G9n_0LWKzbBv4JLaPRg,
Akhq4AKxKRDPa6BHpiSEVQ,If tu go su le ru mason va la ces  tres trée bonne,2017-09-16,yg12MB14j7l7OYiZOR8wmg,
7Ppgpgva-HP3o3h-xp2sWw,Worst McDonald's in Las Vegas.,2017-11-14,5d_koPH0oG_GUtWXIYaiOA,
vBJ3qJi2Hk_OyYV_FkqCtw,Love this place. Best Barbacoa in town!!! Great service and great food!!,2017-06-28,kRFYjiXcJ2wesxxxi_17sg,
dTPqq1VmnYWFR5q4FLhjig,Great service!  Great pedicure!   My feet feel great!,2015-07-18,dzYPcYDTx2R8U91_IGbrWw,
dTPqq1VmnYWFR5q4FLhjig,Very good,2015-12-14,HIRvFWOYaMekAjNgM1S4cw,
zDKH2ua2DauqiWOAP9yz7g,For the amount of money paid, increase the portion size. It doesn't have to be a huge increase but for $10 I expected a little more slaw and a thicker burger,2015-05-06,EgA6sMKj6xobNMoPrbiJOQ,
zDKH2ua2DauqiWOAP9yz7g,Half pound burgers  so may need to share. Every thing's is made fresh so It will not be fast. I think we waited about 15 to 25 min but we'll worth it. ( might add it was very busy)  Pimento cheese fritters are hand made also the box car taters. Yum.  Must look at not recommend review on all restaurants,2015-05-19,XubTBQpsclixYMzE7TQNoA,
zDKH2ua2DauqiWOAP9yz7g,Good burgers, service slow but they are always busy. Nice patio with music.,2015-08-01,oZVgzL27l1oO9Y6cre3XJQ,
zDKH2ua2DauqiWOAP9yz7g,Great food & service,2016-08-13,_sWkgj7ZXUs2deMR29L6Ug,
zDKH2ua2DauqiWOAP9yz7g,Thanks very much for reaching out,2016-09-30,BHqM2_aApaHMPjxNfqL8qg,
zDKH2ua2DauqiWOAP9yz7g,.,2017-02-03,GS3sX4lrjdgV17WgGv9oJA,
F1tRni0x93nfRA-O5SHHzg,Authentic tacos,2017-05-16,GS3sX4lrjdgV17WgGv9oJA,
zDKH2ua2DauqiWOAP9yz7g,Simply the best!  Love me some good burgers and cobb salad here!,2017-03-13,95Hsn4HaB3xV-kkhlqYZ4Q,
zDKH2ua2DauqiWOAP9yz7g,Hire better people, empty chairs won't pay the bills.,2017-04-14,8B1tCaSg5tYxc3NOrtksVA,
zDKH2ua2DauqiWOAP9yz7g,Hire better people who are customer service oriented .,2017-04-14,8B1tCaSg5tYxc3NOrtksVA,
zDKH2ua2DauqiWOAP9yz7g,Hire better people.,2017-04-14,8B1tCaSg5tYxc3NOrtksVA,
zDKH2ua2DauqiWOAP9yz7g,Can my Daughter and myself have a good meal at the bar?,2017-04-15,8B1tCaSg5tYxc3NOrtksVA,
zDKH2ua2DauqiWOAP9yz7g,Sorry, better training is the key to building a successful business.,2017-04-28,8B1tCaSg5tYxc3NOrtksVA,
zDKH2ua2DauqiWOAP9yz7g,Fun, great service, great menu choices, great portions!,2017-07-21,xgkq-Q8vbn7VOv-Rp_Bzww,
zDKH2ua2DauqiWOAP9yz7g,Terrible food good atmosphere,2017-11-30,mu8kUIgA6YvOTgFXBQjHgw,
HVlDheU0-Vqrv9bhNqyIyw,Very nice sports bars\/restaurant.  Friendly staff and the food is pretty good .,2015-10-20,ptZi057gqRDALd5ucVR8Rw,
HVlDheU0-Vqrv9bhNqyIyw,Great lunch today with the GPLC. Dan is awesome!,2016-12-02,jSnfUUvMyKUKVeH08Yi-rQ,
as_fyujgsdwtV56n31z-Sw,Awesome dinner!! Great food and great service,2015-08-07,-QebArv-pgXFGWTLO7CJJg,
as_fyujgsdwtV56n31z-Sw,The drinks are strong and the guac is good!,2015-10-30,_Ujof9PxkW-xS5si5B2K5A,
as_fyujgsdwtV56n31z-Sw,Great place. Food was quick and fresh. Large portions. Great place for kids.,2016-01-16,a-klo35n7lGJp0HgaQRrPw,
as_fyujgsdwtV56n31z-Sw,Good food. Fun place. Slowest service ever.,2016-01-17,jgf2hwqKwqOtr5BZsB4Slw,
as_fyujgsdwtV56n31z-Sw,So much cabbage.,2016-03-04,TyG8Ld5-54bXc44C-MvIEA,
as_fyujgsdwtV56n31z-Sw,Delicious food, great service.,2016-12-17,6EN23s0rJcIpPAJbW-D6Ew,
as_fyujgsdwtV56n31z-Sw,Josephine is awesome!,2017-05-05,VlJyC-gQWqRd8FBPtKopYA,
as_fyujgsdwtV56n31z-Sw,Came back to Bomba for Cinco. Best appetizers in town! Our server, Josie, was the best!,2017-05-05,95RtkRrA12ikygrVgTmNuw,
S52kLuHEa8RCSoXQvZql0g,Keri is awesome! She will take great care of you =),2015-10-03,hHD3ldv8tol4eo-QtcI4lA,
C45YKxSDpBekWLPDl_-xBA,Very good food! I would recommend to everyone!!,2015-04-28,fnbLOb6OcbNjYLoI9krm4w,
iIiK3S_1Q6i3yenDyKAH3Q,Opening day at the brand new EOS Fitness! Beautiful facility!,2017-11-15,fnbLOb6OcbNjYLoI9krm4w,
OF-mx8RSCB0K_XwY1iJjRw,There was shrimp in the salad I ordered off of the vegan\/vegetarian menu. NOT COOL.,2017-05-18,P2PqHe7Uoa-r_n7_zboxgg,
1jRtzp6ISq3voVUSRxIyjw,Great Furniture and Great Service,2016-02-13,fVAFouzcft4eQsH_3cgpaw,
qflIO8MUjwBnpY0R9wZ9Nw,lowest POS system on the planet.,2016-10-23,F0m6IzpVXoOygpWJqacAXw,
XkJS7EX3vRdnFSRewryfjA,Great people, beer selection, live music and food.,2015-04-16,ayQxbAfs1gn0QECq79CEVQ,
vNEENSaRjKkQfuKoxKN_VQ,Great tacos and burritos, but HORRIBLE, I repeat, HORRIBLE, delivery service.,2015-09-26,agRKNMz2NEVy4-O4WIQLYA,
vNEENSaRjKkQfuKoxKN_VQ,Delicious! The veggie taco was amazing!,2016-01-28,gMkQlKGMhy_CGykvYhMPSA,
vNEENSaRjKkQfuKoxKN_VQ,I love this place, great burgers and tasty food :),2016-09-28,O5LfqtWCR1ZzO5UevJ3oJQ,
vNEENSaRjKkQfuKoxKN_VQ,This place is awesome!   Best quesadilla ever!,2016-11-08,mfgqywApL4bwpQMwi29z9A,
vNEENSaRjKkQfuKoxKN_VQ,Called for delivery. No call. No show,2016-12-10,2P-QENvIa0U5-v4scns2XQ,
NuWVaxqT4hGW886d46rf_g,Best!,2017-10-04,2lRe25YgCf0Yec4uL0DnWw,
eh127ASMZstrELE0K0XADw,Excellent Lobster roll! Best I have ever had.,2016-08-29,aplu8J8FpBZKT_jRQOZPoQ,
QG20zUbq6Vr_fVngshhiTA,Great service. Go it yourself dry n clean, good for one of those trendy joints,2017-08-26,R9TOk3c9R-vhfG1CSRv3Ug,
m7GJTAWj3AU4Z2WhZp5Pxw,Go early! Less people, less stress : ),2016-09-04,2J94lq82LmW40r7gOqi5KA,
jo2jgyRzk37fnR91D8XbtA,Save your money and just don't go.,2017-01-25,F0DhlPxM2kH9IZPdgmWp1g,
aXWliJgd9HMGhelIkakKMQ,I had my 2010 Xterra Washed and waxed.  Looks like new again. Awesome job Bravo.,2017-05-12,HEQIODjQzjoFuyAR4tbcJA,
-It8eqCz-Jo83vJhgK1vDw,There are bins to donate your unopened liquid items to USO like soda, water and toiletries that are larger than what TSA allowed through the checkpoint.,2015-07-06,DHe3NxeJJjwXdeMMFMpD_w,
x0UsmIFic6b2w-DTsVJuGA,Really cute coffee shop. I have yet to try the espresso, but the coffee is good and strong. I think it aims to be more of a sit-down cafe (lack of on-the-go essentials such as trays and cup covers). All sorts of healthy food (gluten-free, healthy grains...). Muffins are great and hearthy.,2015-07-13,55Nb8LKf6usbRVF_xaoypw,
DKXUkIrFnMUMF535gf-dPA,Amazing Tacos and Frescas. Everything is fresh and delicious!,2015-05-30,Q4yCegI7ybqHY6IT_nBjeQ,
DKXUkIrFnMUMF535gf-dPA,The service was great and food even better!,2015-07-10,Pm72DvwV3nsF8d7TioOmvA,
DKXUkIrFnMUMF535gf-dPA,I haven't been there, but closed on Sunday?,2015-08-23,RiWpVeVf7AEzB1Lp0onG5A,
DKXUkIrFnMUMF535gf-dPA,They nailed it!! Great flavor!!,2015-10-06,R4sUFGROZ_Rfsv5bqPiwSg,
DKXUkIrFnMUMF535gf-dPA,Great authentic food and service!,2015-10-09,lsGTtqBvfEBW_GypZ8x4dA,
DKXUkIrFnMUMF535gf-dPA,Great food, authentic and delicious! Service was great! Restaurant very clean.,2015-11-13,9i9KLlSnwoEJFQIcokZwbA,
DKXUkIrFnMUMF535gf-dPA,Awesome food!  Fast, friendly and they have amazing, healthy drinks.,2016-01-18,VkLbh-rmQi0Xg3m7pVD5eg,
DKXUkIrFnMUMF535gf-dPA,Must try !!!,2016-05-04,n2vTq8mD0BdhO_8fQmP43g,
DKXUkIrFnMUMF535gf-dPA,Sooo delicious,2016-05-12,rhLpmRxTAtnp3vU8zooXLQ,
DKXUkIrFnMUMF535gf-dPA,Muy rico y buen servicio lo recomiendo,2016-05-19,FiuRBBcTYNCLeGNFCxORpA,
DKXUkIrFnMUMF535gf-dPA,I absolutely love this place. Great food at a great price!,2016-05-25,R_TcdwVg7tnWvIjOARnNRw,
DKXUkIrFnMUMF535gf-dPA,I love it food is always so fresh workers always have great costumer service,2017-01-07,W0o0ZElByate2gw-UN9vbA,
DKXUkIrFnMUMF535gf-dPA,The street tacos are very good! Restaurant is clean and friendly staff.,2017-06-11,OTPLbkYy6chMg9GuySE-3A,
DKXUkIrFnMUMF535gf-dPA,Awesome food, makes Robertos look like pig slop,2017-06-20,xCS6wvYJF46h-Xlq7YnF6w,
DKXUkIrFnMUMF535gf-dPA,Awesome yummy food!,2017-07-07,LkrxA5xUazoJvIg2N0BCRw,
DKXUkIrFnMUMF535gf-dPA,My new favorite place in Las Vegas to get tacos, burritos, elotes and agua frescas!,2017-08-29,Dg_NTfwQVt8ZP08VWbzTxg,
DKXUkIrFnMUMF535gf-dPA,It's amazing!!! Great customer service! And I love there waters !!!!!!,2017-09-23,JsSXvQXAgTX5KrKFzFykMg,
DKXUkIrFnMUMF535gf-dPA,Really tasty tacos. Staff is helpful and polite.  Love that place,2017-10-11,EyxG1Ue9q5a7ZflBB3TnTA,
DKXUkIrFnMUMF535gf-dPA,My favorite place for street tacos! The frescas are also yummy!,2017-10-27,9zau-MDJHclnD5c6bzCkRQ,
R8811Sf7uYEa5m3KBc32Qg,Sucks!!!!!!,2016-06-25,qJk87Q55Xe6B8wcSvUmB_w,
