post_id,comment,created_at,author_id
288lAybD6oJD4Nwow1R7wA,Paul is the man. Great customer service in a comfortable atmosphere.,2015-05-30,pbbGqXQZ-SJRcSwvs9guBw,
xK8u-xJ1XmPtTwwkJ9-RWw,Teeing it up!,2012-05-19,pbbGqXQZ-SJRcSwvs9guBw,
oGASRzKGpuiP12ilQH_nKg,Paprika Schnitzel with Spaetzle and a Double Bock, life is good,2011-09-30,pbbGqXQZ-SJRcSwvs9guBw,
YvCIHmADAMDP_JV7vSBAHQ,Need to serve more hash browns,2014-09-20,pbbGqXQZ-SJRcSwvs9guBw,
Ktia9NJfvxVxTLVcEnw9zQ,Best Mexican comfort food anywhere!,2013-04-04,pbbGqXQZ-SJRcSwvs9guBw,
6nEViBc5SbWHOutOSsCVDQ,Go Devils,2011-09-09,pbbGqXQZ-SJRcSwvs9guBw,
LtNgP4FqXp5nMFOHErK8cw,Julie....this is the place I was telling you about.,2011-12-03,pbbGqXQZ-SJRcSwvs9guBw,
bVv7r8emubqxWAnAk3abGw,Mmmmmm....cash only,2011-09-16,pbbGqXQZ-SJRcSwvs9guBw,
frCxZS7lPhEnQRJ3UY6m7A,Bomb...,2012-02-11,pbbGqXQZ-SJRcSwvs9guBw,
-ZBfr1BHvArFp1d6XH8jOQ,This place rocks...killer concept,2011-06-04,pbbGqXQZ-SJRcSwvs9guBw,
sk2L4KcJbkkF6eHfjitGpg,Ever since Porter left this place has gone downhill...horribly.,2013-03-02,pbbGqXQZ-SJRcSwvs9guBw,
ndXuzuD4BpNIrm1I0nTsww,This place is great....Iron Chef Jose Garces cookin it up!,2012-01-18,pbbGqXQZ-SJRcSwvs9guBw,
_WvEXsx2eZ53lTWHlIx9kg,Pre opening night invited by Chef Stephen Jones! Awesome so far...tuna carpaccio, scallop ceviche tacos, roasted beet salad with Lavendar Goat Cheese...Karen and I are very grateful Steve  thanks!,2012-06-03,pbbGqXQZ-SJRcSwvs9guBw,
Vu641FmSuZcUBI8PymYRIg,Celebrity bball game w my baby boy!!,2012-03-03,Q3OzJrINnuSc0mQAuLKL8g,
2O_ec-By_tho2KeXvcnBuQ,Chocolate chip oreo cookie is to die for! Yummmm.....,2011-04-10,Q3OzJrINnuSc0mQAuLKL8g,
uYZ-cBB5CFbG2ucYLZaypA,Leslie brought me to the hood...,2012-03-09,Q3OzJrINnuSc0mQAuLKL8g,
cY3An5aOXz-c-gv2412Emw,I freakin love this store!!,2012-06-09,Q3OzJrINnuSc0mQAuLKL8g,
pHPEA7D2FsffRkvIRk8DWQ,Gaily's Bday!!!,2012-07-20,Q3OzJrINnuSc0mQAuLKL8g,
DuzMCQo1J65qtvYyF5eaTg,Trouble!!,2012-10-14,Q3OzJrINnuSc0mQAuLKL8g,
WR18M4vP4g1jXfNsd9lYjQ,Going to enjoy some wine and some jazz... Arizona Jazz Festival!! Yea buddy!!,2012-10-26,Q3OzJrINnuSc0mQAuLKL8g,
WR18M4vP4g1jXfNsd9lYjQ,AZ Jazz Fest day 3 Brian Mcknight n Kem :),2012-10-28,Q3OzJrINnuSc0mQAuLKL8g,
_98ytLdlPEDp0FTuO31R7Q,Finally seeing Batman!! LOL,2012-08-05,Q3OzJrINnuSc0mQAuLKL8g,
cd6Ymk1mPe_Zk3EC5i9RjQ,Mommy run.... Theraflu, honey, ginger ale, emergen-c for the kiddie :(,2012-03-01,Q3OzJrINnuSc0mQAuLKL8g,
cSYrrPlMlICReywLk-DE1w,Like a kid in a candy store :),2012-07-22,Q3OzJrINnuSc0mQAuLKL8g,
Lhl72icGvaW2rFClTy-hog,Las Vegas rolls!!! Yummmm,2011-10-14,Q3OzJrINnuSc0mQAuLKL8g,
KyUFj09bfowyddCuOTP4mg,Pho time w the neighbors :),2012-04-22,Q3OzJrINnuSc0mQAuLKL8g,
dIA4aUlrRHthZDH5oqwuvg,Date night with my favorite son!!,2012-10-19,Q3OzJrINnuSc0mQAuLKL8g,
dIA4aUlrRHthZDH5oqwuvg,Garlic fries, yum!,2012-11-25,Q3OzJrINnuSc0mQAuLKL8g,
WUA2Rhlb43HBw9sT2R0wmg,Blue moon please :),2011-09-15,Q3OzJrINnuSc0mQAuLKL8g,
hmwgWMDhYK8UHZu75FifPw,Love this store!,2012-01-15,Q3OzJrINnuSc0mQAuLKL8g,
hAo9tNm7VF4bUKTq27jGdw,OAK bound :),2012-07-30,Q3OzJrINnuSc0mQAuLKL8g,
LwENhk9uo2P3rLRlX_CGfQ,Love fresh n easy but this parking lot sucks!,2012-11-14,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Headed to see real steel, hope its good!!,2011-10-09,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Hoping immortals is good!!,2011-11-11,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Mission impossible!!,2012-01-01,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Hunger games!!!!,2012-03-31,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Avengers!!! Finally!!!!,2012-05-12,Q3OzJrINnuSc0mQAuLKL8g,
mBeZ3dQzUPV60Oa26k3qHw,Spiderman :),2012-07-07,Q3OzJrINnuSc0mQAuLKL8g,
