post_id,comment,created_at,author_id
Fx5haZv9PP3E7Ljp-h7B1Q,.s. Their eggs are always good,2017-07-20,U3Y7xT8KZwQilb__FGHeIQ
t19vb_4ML2dg5HZ-MF3muA,No vegetable option and the taste was a bit different.  The Baldwin location is the best for me!,2014-09-29,U3Y7xT8KZwQilb__FGHeIQ
XH2FCZmsisDc8-oPw_ygHg,Get a coupon in front of Eaton Center for  20% off. Not a bad deal!,2016-08-21,U3Y7xT8KZwQilb__FGHeIQ
trKyIRyjKqVSZmcU0AnICQ,10% off on regular items when you check in on Yelp  @Pearldiverto,2017-09-26,U3Y7xT8KZwQilb__FGHeIQ
trKyIRyjKqVSZmcU0AnICQ,Tuesday special ""seafood circus"" for only $29.99!,2017-09-27,U3Y7xT8KZwQilb__FGHeIQ
5N8R7ALESZ30EoAzVJtabw,This place is very small and there's always a line up. Make sure you have time to wait for the delicious chicken and waffle!,2015-12-19,U3Y7xT8KZwQilb__FGHeIQ
m7v-K-BARyZu6lePJw8u6g,Chocolate Marshmallow Pizza is the Must!,2017-05-08,U3Y7xT8KZwQilb__FGHeIQ
nRo8ZR3UO1Kt6XwIMbMy1w,Order your drinks at the bar is the easiest and fastest way to get drunk~  It's definitely better than looking for your server if you don't wanna order food.,2017-07-20,U3Y7xT8KZwQilb__FGHeIQ
QJf992yAgUpNeFMuTTPQ1A,Their staff are very nice, friendly and attentive!,2017-07-20,U3Y7xT8KZwQilb__FGHeIQ
u9_cHsWEKds73ZT8PZaf6g,My fav dishes so far are Bolan Padthai with grass noodle and Papaya salad with grilled chicken,2016-06-19,U3Y7xT8KZwQilb__FGHeIQ
DIVF4oo86EGupm5CC60sZg,Good for hanging out with friends!!,2013-09-30,U3Y7xT8KZwQilb__FGHeIQ
n2NRR4N-kmeDvhHJivHGkA,on - Fri, from 2 - 5 pm.,2017-08-01,U3Y7xT8KZwQilb__FGHeIQ
n2NRR4N-kmeDvhHJivHGkA,on, all day long,2017-08-01,U3Y7xT8KZwQilb__FGHeIQ
EK38MXW_OsC5CZVvIZodIw,Now they have 12 flavours of mini donuts. Also the Cheesecake from Heirloom food truck! Check it out before they're gone :),2017-10-22,U3Y7xT8KZwQilb__FGHeIQ
9FPs1mXHZEoEWo3kw9cwGQ,Get a large size of Cha-syu (BBQ pork) ramen for $9.95 + YELP check in for a free karaage~ GOOD DEAL for HAPPY HOURS (2-6pm, 9.30-last call),2017-05-03,U3Y7xT8KZwQilb__FGHeIQ
9FPs1mXHZEoEWo3kw9cwGQ,his month ""MAY special is Budweiser Pint for only $3.99!,2017-05-03,U3Y7xT8KZwQilb__FGHeIQ
9FPs1mXHZEoEWo3kw9cwGQ,3.50 for 4 big karaage,2017-05-03,U3Y7xT8KZwQilb__FGHeIQ
9FPs1mXHZEoEWo3kw9cwGQ,They open whole day long. Not closing during the day anymore. 2-6pm and after 9.30 pm are Happy Hours!,2017-05-04,U3Y7xT8KZwQilb__FGHeIQ
ZxbUza8_Y17R18WcWehCmw,heck it out fast! I got original gushi chicken~ it was a good size and tasty!,2017-07-30,U3Y7xT8KZwQilb__FGHeIQ
5hTskC8JrA2zA0mYaYEZpg,Ask for the Triple mustard! Hot radish, sweet and sour. They were good.,2017-10-16,U3Y7xT8KZwQilb__FGHeIQ
5hTskC8JrA2zA0mYaYEZpg,Happy hours $5 Monday to Thursday 5-7 pm,2017-10-16,U3Y7xT8KZwQilb__FGHeIQ
1Fpk8ibHhZYnCw8fnGny8w,5 oyster, $5 wine, $5 snack,2017-07-30,U3Y7xT8KZwQilb__FGHeIQ
4Jscimulh38Rq2hOgjb2Hg,Have you heard about Tonka beans? It's the magical love beans!  It's not illegal in Canada They carry them here~,2017-03-28,U3Y7xT8KZwQilb__FGHeIQ
4Jscimulh38Rq2hOgjb2Hg,on't forget!!!!,2017-06-18,U3Y7xT8KZwQilb__FGHeIQ
I6oxEn1HT41S2GPrDKPPvA,With this price range, you can't get any dim sum better than this restaurant!,2017-08-23,MIYCvrOigCdj3OYFWt5wQw
I6oxEn1HT41S2GPrDKPPvA,It's not great but it's here so they good with me,2017-09-03,_ZqXdDjq1ZD0qq6TQNZjeQ
57ZBrOAR-KrfMMaHK0tcew,This pizza better than good dick,2017-09-28,_ZqXdDjq1ZD0qq6TQNZjeQ
eqDiZPq2ngI5QfsKKJYa8Q,If you're visiting the ER go across the street to the Shell Gas Station. Parking is $5 for the day I believe. Speak to the gas station attendant, they'll take your money and license info for you. You'd park in the lot just west of the gas station.,2015-09-28,cjTUsUB4Gtjs872mNaCmUw
UwENDj5udMTGAvKKU4jhdA,Don't eat here. It's awful.,2015-06-14,cjTUsUB4Gtjs872mNaCmUw
u3KvUpdWnl0Jhjhp3pVg5w,The BBQ sauce should be called extra spicy might kill you sauce.,2016-08-04,cjTUsUB4Gtjs872mNaCmUw
fWeCh-xYQxo8VSemQrqYDQ,One of the best outdoor patios in The Beaches if not all of Toronto.,2016-08-25,cjTUsUB4Gtjs872mNaCmUw
R4fGymgtaypuu21m5qsFVg,My favourite place to grab a coffee and a snack before going to the Barber.,2015-10-27,cjTUsUB4Gtjs872mNaCmUw
Rlifs7gFkxroy5NzMiHY0Q,They don't take reservations on the weekend, and any seat seems great having been here twice.,2015-11-28,cjTUsUB4Gtjs872mNaCmUw
3ffpa2xSDjK4XhF2E-jp1A,There's plenty of parking in the area, and a green P across the street. Really great staff. Good service.,2016-01-28,cjTUsUB4Gtjs872mNaCmUw
kKNauD7d3HOvumRV7JIAfg,Great sandwich. 20 min wait for it when you're in a rush. No thanks so sorry.,2016-09-24,cjTUsUB4Gtjs872mNaCmUw
YEILyeHAQTgEGogF46HYiw,Cash only,2017-04-06,k6AIp3UhjeTErmR2NZUFYQ
NGgHn-Mu2mSOaXS9e2dtvA,Sign up for their email newsletter and get a buy 1 get 1 free cone coupon for your birthday!,2016-08-08,k6AIp3UhjeTErmR2NZUFYQ
uAAWlLdsoUf872F1FKiX1A,Updated prices as of 05\/26\/16!,2016-05-25,k6AIp3UhjeTErmR2NZUFYQ
XC23vvqHdCJqev-bmeh2HQ,Cream puffs 4.50, Macarons 2.25 each and cake slices 5 dollars as of 5\/14\/16,2016-05-14,k6AIp3UhjeTErmR2NZUFYQ
ehUN_XAWr1ePov0jtgv0Lw,Their $2 fountain soft drinks DO NOT have free refills.,2016-05-25,k6AIp3UhjeTErmR2NZUFYQ
FfF8XGFf8_BSlWSjIgqeQg,Sign up for their social club (email list) www.scaddabush.com\/social-club\/ and get a $10 off $30 coupon on your next visit!! Takes about an hour for the coupon to be emailed after signing up.,2016-12-28,k6AIp3UhjeTErmR2NZUFYQ
lZsfVRXEhqxAMq3dsu4akw,Ok。,2014-10-25,CgNB0C8qVRAm5vmQFDvv8g
LPWMKKcGeWmJgf8t_TIcYQ,Huge breakfas,reasonable prices,nice.,2014-10-25,CgNB0C8qVRAm5vmQFDvv8g
UyN4L-8ocNG_7Mq6fRa5YQ,I love this place!,2012-09-23,oSkGbDpLWgFUFGceUCaJbw
ORyR5StmKX5HjvFEV1oBXQ,Endless shrimp!,2012-10-28,oSkGbDpLWgFUFGceUCaJbw
UyN4L-8ocNG_7Mq6fRa5YQ,Ordered a coffee and cake coffee had no taste cake was stale,2014-01-27,-x7UMASdVNIbNGwttkjX0A
5cGSkfEc9FbFltBpioRF0g,Very nice hidden jem. Awsome prices,2013-12-06,-x7UMASdVNIbNGwttkjX0A
IQ4ul7JRXz6zyjDod1kUyg,Nasty food,oily tasteless and just plain disgusting.,2013-11-09,-x7UMASdVNIbNGwttkjX0A
UyN4L-8ocNG_7Mq6fRa5YQ,2 things open till 1-2 am and triple chocolate brownie. Enuff said,2014-08-21,umMSfYW6E87nbFzaRwrBjQ
UyN4L-8ocNG_7Mq6fRa5YQ,Terrible food, terrible coffee and lattes, terrible customer service...just terrible!,2015-01-31,Y5jHps98pJeAuBN1pTad6A
_4noxz6NM0gBeVhZ58Emtg,LOBSTER TAILS. To die for! That is all.,2016-06-09,Y5jHps98pJeAuBN1pTad6A
nBo99rJ9dG6-hiKdo7E7gw,Kashk bademjam. That is all.,2015-06-29,Y5jHps98pJeAuBN1pTad6A
6cgtAgPOJDN1fer4fCjdPw,Wireless charging stations all around the store for phones :),2015-02-21,Y5jHps98pJeAuBN1pTad6A
X1uGPGLXPLfSx9OTA5_vQg,Probably the best espresso and cappuccino I have ever had in Toronto!,2015-02-28,Y5jHps98pJeAuBN1pTad6A
bRntmjztJ4dFDA_LYiEECw,Grilled cheese here...mmmm!,2014-10-28,Y5jHps98pJeAuBN1pTad6A
ceK2VvPlxPBPo1evXOlD7g,Tandoori chicken breastfeeding skewers are so delicious and tender,2015-01-31,Y5jHps98pJeAuBN1pTad6A
ovnqQaQ8BsPgDoJ4nlYBUw,CASH ONLY! Came wkday evening and they only had ice cream sandwiches, cupcakes and cake. Was disappointed because I was looking forward to their pastries...,2014-05-22,Y5jHps98pJeAuBN1pTad6A
TVDsSTurM58zneq_q_ZNOA,Ask for Hannah! Shes by far the best,2014-09-27,Y5jHps98pJeAuBN1pTad6A
rsjrcxOIJm9VdkSNpkXZ9Q,Portobello & Goat cheese piadina here is mouthwatering!!! Best option for vegetarians!,2015-01-30,Y5jHps98pJeAuBN1pTad6A
L_thK7r3K_h5M4tV7amEKQ,24 hour all day breakfast AND they have screens!,2015-06-07,Y5jHps98pJeAuBN1pTad6A
zpwl8rQBGrO1XkP1CYBtvg,Their manakeesh are so good!,2014-06-07,Y5jHps98pJeAuBN1pTad6A
n-UVXXRQNVEiP6CRrmRAzw,Huge supervised play area for kids,2015-02-11,Y5jHps98pJeAuBN1pTad6A
kljR-Bg6A3jze9JzBwRhRA,Located on the north-east corner of Markham and Sheppard just beside the shoppers.,2015-02-04,Y5jHps98pJeAuBN1pTad6A
