post_id,comment,created_at,author_id
JMq0dz_jb6SUEvhhON6mqw,Ask for Chance.,2011-03-12,acIm1t76GjS63KxT0c2G2g,
P7pxQFqr7yBKMMI2J51udw,Vitamin Water + Alcohol = This can seriously be done!??,2011-09-06,acIm1t76GjS63KxT0c2G2g,
0zeQRzpO06evIZfcR_aZ5w,Gaming, Alcohol and Dancing, total nerdgasm.,2011-09-05,acIm1t76GjS63KxT0c2G2g,
ucv_SCACwuW4wEOudO_xyg,The pepperoni pizzas here are the best I've ever had despite being a little pricy,2011-08-04,gXKCDZAg9paa6aIYcUZQVA,
-Ylpy3VyRWwubf9dysuwjQ,Blending in with the tourists today,2011-12-28,CWDqje3WQG4JS3obiviK7A,
Aaywarn83SRxwXOYyXcJuw,Happy hour!,2012-01-16,CWDqje3WQG4JS3obiviK7A,
fxoKYMF5V87rea7Os368Qg,Try the 2012 New Years Eve burger. Yummmmm,2011-12-31,CWDqje3WQG4JS3obiviK7A,
zcScEL0WEdFkROcnz5379g,The whole sha bang!!!,2012-01-09,CWDqje3WQG4JS3obiviK7A,
zcScEL0WEdFkROcnz5379g,2nd time here in the same week,2012-01-15,CWDqje3WQG4JS3obiviK7A,
zcScEL0WEdFkROcnz5379g,The whole shebang ! Again,2012-01-27,CWDqje3WQG4JS3obiviK7A,
NLEe-RzDSU-5BN6xp_WWCw,Word on the street is they have the best fried chicken in the world! I'll let you know...,2012-02-16,PbRvBv4_3ZdZKhfAvr7-Kw,
Rd11Bosr8JkfoUhZLzpuxg,Lobster Mac n cheese~~~ mmmm,2012-08-14,DJQAv8CwJpIKHvbrTcz4oA,
w55sCX7ZkLIJNhl_RhwjEg,Great happy hour and appetizers.  The staff is swift, friendly and entertaining.,2012-08-09,-X9mB_GUJKiEo09UxVFFGQ,
QJ6GXAAMkgCZPF0bZk0xLw,Smells a little musty inside,2014-08-14,tb1PPJaakMfZwWeUv_m4Ww,
FEH0i7SnTH81k451ZadKIQ,The cheese selection is the best around.,2013-08-03,dyhZLZXiHTqTAkKko72l6A,
NblDm3wwmniqsAgedLSTwA,Great views for an afternoon drink or late lunch.,2013-07-07,dyhZLZXiHTqTAkKko72l6A,
SopKGdNL3mDd4NOimR9zgw,n addition, their prices were at or better than the other bike shops in town.,2013-07-06,dyhZLZXiHTqTAkKko72l6A,
s44Pr0mXmAtxiRqz_m9CPA,Nice Sunday breakfast.  Getting cheese on your hash browns is a must!,2013-07-28,dyhZLZXiHTqTAkKko72l6A,
s44Pr0mXmAtxiRqz_m9CPA,Unfortunately they aren't serving Sunday breakfast anymore- hopefully that comes back soon.,2013-08-18,dyhZLZXiHTqTAkKko72l6A,
zv7ApWWtKbu1r_qNK4SFrg,They have the best premade lasagna.  If you call ahead a few hours they will cook it for you as we'll.,2013-08-17,dyhZLZXiHTqTAkKko72l6A,
FEH0i7SnTH81k451ZadKIQ,Awesome!!! So many yummy goods and ssmples! Great atmosphere with people and music.,2015-11-07,PNVK7L918ok_xcR6Zd_cvw,
FEH0i7SnTH81k451ZadKIQ,Stella's Monkey Bread = The best $6 you'll ever spend.,2017-04-16,scaxsfOynKUZEijn_UCTkg,
FEH0i7SnTH81k451ZadKIQ,Get there EARLY (6:30am) if you want to avoid the crowds, but some stands aren't up until after 7.,2017-04-16,scaxsfOynKUZEijn_UCTkg,
_q0ci_oTC-QccjFKVc6CeA,New hours: Tuesday-Friday 9am to 6pm,2017-04-21,scaxsfOynKUZEijn_UCTkg,
