"Very very slow service. Food is not bad but horribly slow and poor service.","2014-07-14","0","Er8DpPwf_lHHv64ncWhD8g","CGIIIhDPCBFxEn-Qqu944Q"
"Fairly mediocre food and poor service. Would not return.","2013-12-08","0","UT6L3b7Zll_nvRidijiDSA","CGIIIhDPCBFxEn-Qqu944Q"
"Slow service but good for the price","2014-06-16","0","iIwKW2cBAxjElE8eUzjwqA","CGIIIhDPCBFxEn-Qqu944Q"
"Lychee martinis - Delicious!","2014-07-21","0","N7yuiiu8jhQ-Fl9Npflreg","qcoXFeuo8-izVUTDMiUQrg"
"Amazinggggg  their Pad Thai is on point!","2014-07-26","0","N7yuiiu8jhQ-Fl9Npflreg","ZA7duo9tUFXIIUcXOl0BRQ"
"Competition is just a month away! #Underrated #UTRFAM","2013-09-13","0","YGp1TE9uZ5oKt-HKqWJLDw","ZA7duo9tUFXIIUcXOl0BRQ"
"Tried the lobster salad, basil pork stir fry, drunken noodle w\/seafood...all delish!!","2014-07-27","0","N7yuiiu8jhQ-Fl9Npflreg","VYH0Ydrk47-J0HKCUdSXwg"
"Really fast service, food comes out hot & delish! Order the fried pickles! Sweet potato tots, fried chicken & waffles, ahi salad are all awesome!!","2014-07-24","0","wuQDMDlqM17jQNo0lYQZ7g","VYH0Ydrk47-J0HKCUdSXwg"
"Great late night place that serves a variety of chinese and thai dishes.","2014-12-24","0","N7yuiiu8jhQ-Fl9Npflreg","sfbDDCPmhHTVWvs7Rinbew"
"Loved the ambiance and the food.","2014-12-29","0","N7yuiiu8jhQ-Fl9Npflreg","treFdfhi71322yNkYqA-hA"
"Loved the ambiance and the food. Not a lot more to add.","2014-12-31","0","N7yuiiu8jhQ-Fl9Npflreg","treFdfhi71322yNkYqA-hA"
"Don't eat the Pho.  Soup had no taste.","2015-08-29","0","N7yuiiu8jhQ-Fl9Npflreg","sglzRGcjd3fPreN29s73jw"
"Soft crab fried rice is a must try. Taste so good.","2015-09-28","0","N7yuiiu8jhQ-Fl9Npflreg","aOwO7LmFWDNgR_fIesncSQ"
"Well if you like alright CHINESE food that's kinda expensive than go here.","2015-12-30","0","N7yuiiu8jhQ-Fl9Npflreg","jigIXcrAt3sj_gYgRC0WZg"
"Amazing menu! Truly legit Thai! So underrated!","2016-01-02","0","N7yuiiu8jhQ-Fl9Npflreg","yC0AXG5GtiK4K-03seBJXA"
"Incredibly rude phone receptionist. Won't even bother.","2017-11-19","0","S_bG5WWbtNXhhY9Y0GTcSg","yC0AXG5GtiK4K-03seBJXA"
"I thought the food was great, and the price was high and the service was lacking.","2016-02-18","0","N7yuiiu8jhQ-Fl9Npflreg","wks_LpW_ibfpR4m8Bq6NpQ"
"Nice restaurant bar. Great view from upstairs. Reasonably-priced' good staff...","2016-08-02","0","dw2ST-AHUbu2xq0QNfngBA","wks_LpW_ibfpR4m8Bq6NpQ"
"The chicken satay has 4 pieces- perfect appetizer for 2.","2016-04-26","0","N7yuiiu8jhQ-Fl9Npflreg","rEjyU_hL9JuhG8pX7uHYQw"
"I've eaten here twice. Once we ordered apps when we were drinking at the bar next door. The food tasted great but I had had a bunch of drinks.  The next visit I ate at the restaurant and was great disappointed. Poor flavor and the chicken was tuff. 
I would go back but only because it's one of the only nicer restaurants that's open late.","2016-05-30","0","N7yuiiu8jhQ-Fl9Npflreg","_UwZg-ztV7gc9u0zsRSHxA"
"Great  yellow curry, fried squid was really good and loved the pickled cucumber.","2016-09-09","0","N7yuiiu8jhQ-Fl9Npflreg","wigb9j2otdTrsuCfsRm6XQ"
"Excellent food and great service.  We will definitely be back!","2016-10-15","0","N7yuiiu8jhQ-Fl9Npflreg","oL4qptEuyG1f8qDeLkB0pw"
"It's good place.
I love Thailand food in here.","2016-10-22","0","N7yuiiu8jhQ-Fl9Npflreg","CH8qRKWZjfCwfpjZQ_yheA"
"It's really good.
O my flaming noodle is my favorite, u should try it.","2016-09-09","0","kZ-ytO1SysT7mWchxwguZw","CH8qRKWZjfCwfpjZQ_yheA"
"A must destination spot on the strip, great food and beautiful ambiance.","2016-11-03","0","N7yuiiu8jhQ-Fl9Npflreg","t2c0A8KFMg__eT_vQ8WPng"
"Outstanding food, good service, excellent pricing... 100% Recommended","2016-11-23","0","N7yuiiu8jhQ-Fl9Npflreg","1JaGCUlxuMI3Lvd9sdV_5Q"
"Not to bad","2017-04-09","0","N7yuiiu8jhQ-Fl9Npflreg","8wKGvPnqh7-L6i7reG_R_Q"
"One of my favorite Asian place in Vegas, love the food every time.","2017-04-23","0","N7yuiiu8jhQ-Fl9Npflreg","-qFWXjfKVR-ntDiH247V7g"
"Good bar for 80s \/ 90s music.","2015-09-08","0","n9JeKS94hJRvnyZLqUbO6w","-qFWXjfKVR-ntDiH247V7g"
"This place has really good choices for veggie tapas. Portions are also sizeable","2015-09-08","0","kRgAf6j2y1eR0wOFdzFAuw","-qFWXjfKVR-ntDiH247V7g"
"Food is ok. But service could be better...","2017-04-26","0","N7yuiiu8jhQ-Fl9Npflreg","BOKv5xTHtQaafjl6Ed5h5g"
"Terrible food, terrible customer service, so disappointing!","2017-07-06","0","N7yuiiu8jhQ-Fl9Npflreg","P4tEA15X1CKcLRj7G5NyeQ"
"A little expensive but still good!","2017-07-13","0","N7yuiiu8jhQ-Fl9Npflreg","qsQbC1oU9qRahoPolebJmg"
"Best lemongrass I have ever eaten at!","2017-07-28","0","N7yuiiu8jhQ-Fl9Npflreg","QvjAO44KZ2bjVFWgeQEeWg"
"Prompt and great service. The staff is very friendly and caring.","2017-06-25","0","HZ9iQIoSjQvCuQKO3NQTvg","QvjAO44KZ2bjVFWgeQEeWg"
